 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 20, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/12Li_700mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 12.05378 amu

 Target Density =  3.4850E-04 g/cm3 = 3.8846E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   1.262E-01  1.750E-04   34.28 mm     1.43 mm     1.85 mm  
   3.00 MeV   1.259E-01  1.625E-04   36.25 mm     1.47 mm     1.87 mm  
   3.25 MeV   1.253E-01  1.517E-04   38.24 mm     1.50 mm     1.89 mm  
   3.50 MeV   1.244E-01  1.423E-04   40.24 mm     1.53 mm     1.90 mm  
   3.75 MeV   1.232E-01  1.341E-04   42.25 mm     1.56 mm     1.92 mm  
   4.00 MeV   1.218E-01  1.269E-04   44.29 mm     1.59 mm     1.94 mm  
   4.50 MeV   1.188E-01  1.146E-04   48.44 mm     1.70 mm     1.97 mm  
   5.00 MeV   1.155E-01  1.046E-04   52.70 mm     1.81 mm     2.00 mm  
   5.50 MeV   1.120E-01  9.635E-05   57.10 mm     1.92 mm     2.02 mm  
   6.00 MeV   1.085E-01  8.933E-05   61.63 mm     2.03 mm     2.05 mm  
   6.50 MeV   1.051E-01  8.332E-05   66.30 mm     2.14 mm     2.08 mm  
   7.00 MeV   1.018E-01  7.811E-05   71.13 mm     2.25 mm     2.11 mm  
   8.00 MeV   9.553E-02  6.952E-05   81.27 mm     2.68 mm     2.17 mm  
   9.00 MeV   8.980E-02  6.271E-05   92.06 mm     3.09 mm     2.24 mm  
  10.00 MeV   8.461E-02  5.718E-05  103.52 mm     3.50 mm     2.31 mm  
  11.00 MeV   7.992E-02  5.258E-05  115.67 mm     3.91 mm     2.38 mm  
  12.00 MeV   7.569E-02  4.871E-05  128.52 mm     4.32 mm     2.46 mm  
  13.00 MeV   7.185E-02  4.539E-05  142.08 mm     4.74 mm     2.54 mm  
  14.00 MeV   6.837E-02  4.252E-05  156.34 mm     5.16 mm     2.63 mm  
  15.00 MeV   6.521E-02  4.001E-05  171.31 mm     5.59 mm     2.73 mm  
  16.00 MeV   6.232E-02  3.779E-05  186.98 mm     6.03 mm     2.83 mm  
  17.00 MeV   5.967E-02  3.581E-05  203.38 mm     6.47 mm     2.93 mm  
  18.00 MeV   5.724E-02  3.405E-05  220.48 mm     6.92 mm     3.05 mm  
  20.00 MeV   5.294E-02  3.101E-05  256.80 mm     8.64 mm     3.29 mm  
  22.50 MeV   4.840E-02  2.793E-05  306.18 mm    11.14 mm     3.64 mm  
  25.00 MeV   4.478E-02  2.543E-05  359.86 mm    13.51 mm     4.02 mm  
  27.50 MeV   4.171E-02  2.336E-05  417.69 mm    15.82 mm     4.44 mm  
  30.00 MeV   3.887E-02  2.161E-05  479.76 mm    18.12 mm     4.90 mm  
  32.50 MeV   3.657E-02  2.012E-05  546.05 mm    20.44 mm     5.39 mm  
  35.00 MeV   3.456E-02  1.883E-05  616.35 mm    22.76 mm     5.92 mm  
  37.50 MeV   3.278E-02  1.771E-05  690.60 mm    25.10 mm     6.49 mm  
  40.00 MeV   3.118E-02  1.671E-05  768.78 mm    27.47 mm     7.08 mm  
  45.00 MeV   2.846E-02  1.504E-05  936.60 mm    36.38 mm     8.37 mm  
  50.00 MeV   2.620E-02  1.368E-05    1.12 m     44.73 mm     9.78 mm  
  55.00 MeV   2.431E-02  1.256E-05    1.32 m     52.85 mm    11.31 mm  
  60.00 MeV   2.269E-02  1.161E-05    1.53 m     60.91 mm    12.95 mm  
  65.00 MeV   2.129E-02  1.080E-05    1.76 m     68.97 mm    14.70 mm  
  70.00 MeV   2.007E-02  1.011E-05    2.00 m     77.08 mm    16.55 mm  
  80.00 MeV   1.804E-02  8.959E-06    2.53 m    107.26 mm    20.59 mm  
  90.00 MeV   1.640E-02  8.055E-06    3.11 m    135.34 mm    25.04 mm  
 100.00 MeV   1.507E-02  7.322E-06    3.74 m    162.72 mm    29.88 mm  
 110.00 MeV   1.395E-02  6.717E-06    4.43 m    189.95 mm    35.12 mm  
 120.00 MeV   1.299E-02  6.208E-06    5.18 m    217.30 mm    40.73 mm  
 130.00 MeV   1.217E-02  5.773E-06    5.97 m    244.93 mm    46.73 mm  
 140.00 MeV   1.146E-02  5.397E-06    6.82 m    272.90 mm    53.09 mm  
 150.00 MeV   1.083E-02  5.070E-06    7.71 m    301.28 mm    59.82 mm  
 160.00 MeV   1.027E-02  4.781E-06    8.66 m    330.08 mm    66.90 mm  
 170.00 MeV   9.776E-03  4.524E-06    9.66 m    359.31 mm    74.34 mm  
 180.00 MeV   9.329E-03  4.295E-06   10.71 m    388.99 mm    82.13 mm  
 200.00 MeV   8.557E-03  3.902E-06   12.94 m    502.26 mm    98.75 mm  
 225.00 MeV   7.768E-03  3.505E-06   16.01 m    664.50 mm   121.42 mm  
 250.00 MeV   7.125E-03  3.184E-06   19.37 m    817.91 mm   146.16 mm  
 275.00 MeV   6.589E-03  2.918E-06   23.02 m    968.08 mm   172.90 mm  
 300.00 MeV   6.136E-03  2.695E-06   26.95 m      1.12 m    201.62 mm  
 325.00 MeV   5.747E-03  2.505E-06   31.16 m      1.27 m    232.25 mm  
 350.00 MeV   5.409E-03  2.341E-06   35.64 m      1.42 m    264.78 mm  
 375.00 MeV   5.113E-03  2.197E-06   40.40 m      1.57 m    299.17 mm  
 400.00 MeV   4.851E-03  2.071E-06   45.42 m      1.73 m    335.37 mm  
 450.00 MeV   4.408E-03  1.859E-06   56.23 m      2.31 m    413.15 mm  
 500.00 MeV   4.048E-03  1.688E-06   68.07 m      2.85 m    497.87 mm  
 550.00 MeV   3.748E-03  1.547E-06   80.90 m      3.39 m    589.30 mm  
 600.00 MeV   3.496E-03  1.428E-06   94.71 m      3.91 m    687.26 mm  
 650.00 MeV   3.280E-03  1.326E-06  109.48 m      4.44 m    791.56 mm  
 700.00 MeV   3.092E-03  1.239E-06  125.18 m      4.97 m    902.02 mm  
 800.00 MeV   2.784E-03  1.096E-06  159.26 m      6.93 m      1.14 m   
 900.00 MeV   2.540E-03  9.831E-07  196.88 m      8.74 m      1.40 m   
   1.00 GeV   2.342E-03  8.921E-07  237.88 m     10.50 m      1.69 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.8695E+01                keV / (ug/cm2) 
  2.8695E+01                MeV / (mg/cm2) 
  2.8695E+04                keV / (mg/cm2) 
  2.5742E+02                 eV / (1E15 atoms/cm2)
  1.1224E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
