 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 23, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/7Li_900mb_CF4_95-5.txt

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  2.9667E-04 g/cm3 = 6.0820E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   1.406E-01  1.648E-04   24.91 mm   879.42 um   972.65 um  
   3.25 MeV   1.366E-01  1.538E-04   26.72 mm   918.41 um   985.54 um  
   3.50 MeV   1.327E-01  1.443E-04   28.57 mm   957.91 um   998.54 um  
   3.75 MeV   1.289E-01  1.359E-04   30.48 mm   998.00 um     1.01 mm  
   4.00 MeV   1.252E-01  1.285E-04   32.44 mm     1.04 mm     1.03 mm  
   4.50 MeV   1.183E-01  1.160E-04   36.55 mm     1.20 mm     1.05 mm  
   5.00 MeV   1.118E-01  1.058E-04   40.89 mm     1.35 mm     1.08 mm  
   5.50 MeV   1.060E-01  9.739E-05   45.48 mm     1.50 mm     1.11 mm  
   6.00 MeV   1.006E-01  9.026E-05   50.32 mm     1.66 mm     1.14 mm  
   6.50 MeV   9.572E-02  8.415E-05   55.41 mm     1.81 mm     1.18 mm  
   7.00 MeV   9.126E-02  7.886E-05   60.75 mm     1.97 mm     1.22 mm  
   8.00 MeV   8.343E-02  7.014E-05   72.21 mm     2.56 mm     1.30 mm  
   9.00 MeV   7.683E-02  6.323E-05   84.69 mm     3.12 mm     1.39 mm  
  10.00 MeV   7.119E-02  5.762E-05   98.20 mm     3.67 mm     1.49 mm  
  11.00 MeV   6.634E-02  5.297E-05  112.74 mm     4.21 mm     1.60 mm  
  12.00 MeV   6.212E-02  4.905E-05  128.31 mm     4.76 mm     1.72 mm  
  13.00 MeV   5.841E-02  4.569E-05  144.90 mm     5.32 mm     1.85 mm  
  14.00 MeV   5.514E-02  4.279E-05  162.51 mm     5.89 mm     1.99 mm  
  15.00 MeV   5.252E-02  4.025E-05  181.08 mm     6.46 mm     2.14 mm  
  16.00 MeV   4.992E-02  3.801E-05  200.60 mm     7.03 mm     2.30 mm  
  17.00 MeV   4.738E-02  3.601E-05  221.15 mm     7.62 mm     2.47 mm  
  18.00 MeV   4.533E-02  3.423E-05  242.71 mm     8.23 mm     2.65 mm  
  20.00 MeV   4.176E-02  3.116E-05  288.66 mm    10.51 mm     3.04 mm  
  22.50 MeV   3.808E-02  2.805E-05  351.33 mm    13.78 mm     3.58 mm  
  25.00 MeV   3.503E-02  2.553E-05  419.75 mm    16.87 mm     4.17 mm  
  27.50 MeV   3.248E-02  2.345E-05  493.83 mm    19.90 mm     4.81 mm  
  30.00 MeV   3.030E-02  2.169E-05  573.48 mm    22.90 mm     5.50 mm  
  32.50 MeV   2.842E-02  2.019E-05  658.64 mm    25.91 mm     6.24 mm  
  35.00 MeV   2.677E-02  1.889E-05  749.22 mm    28.95 mm     7.02 mm  
  37.50 MeV   2.532E-02  1.775E-05  845.19 mm    32.02 mm     7.85 mm  
  40.00 MeV   2.404E-02  1.675E-05  946.46 mm    35.13 mm     8.72 mm  
  45.00 MeV   2.184E-02  1.507E-05    1.16 m     46.84 mm    10.61 mm  
  50.00 MeV   2.005E-02  1.370E-05    1.40 m     57.85 mm    12.66 mm  
  55.00 MeV   1.855E-02  1.257E-05    1.66 m     68.59 mm    14.89 mm  
  60.00 MeV   1.727E-02  1.162E-05    1.94 m     79.27 mm    17.28 mm  
  65.00 MeV   1.617E-02  1.081E-05    2.24 m     89.97 mm    19.83 mm  
  70.00 MeV   1.521E-02  1.011E-05    2.56 m    100.75 mm    22.55 mm  
  80.00 MeV   1.363E-02  8.961E-06    3.25 m    140.94 mm    28.45 mm  
  90.00 MeV   1.237E-02  8.054E-06    4.02 m    178.39 mm    34.96 mm  
 100.00 MeV   1.133E-02  7.320E-06    4.87 m    214.96 mm    42.08 mm  
 110.00 MeV   1.047E-02  6.713E-06    5.79 m    251.40 mm    49.79 mm  
 120.00 MeV   9.746E-03  6.202E-06    6.78 m    288.05 mm    58.07 mm  
 130.00 MeV   9.121E-03  5.767E-06    7.84 m    325.10 mm    66.92 mm  
 140.00 MeV   8.579E-03  5.390E-06    8.97 m    362.65 mm    76.32 mm  
 150.00 MeV   8.103E-03  5.062E-06   10.16 m    400.76 mm    86.28 mm  
 160.00 MeV   7.682E-03  4.773E-06   11.43 m    439.44 mm    96.77 mm  
 170.00 MeV   7.307E-03  4.516E-06   12.77 m    478.73 mm   107.80 mm  
 180.00 MeV   6.970E-03  4.287E-06   14.17 m    518.61 mm   119.35 mm  
 200.00 MeV   6.390E-03  3.894E-06   17.16 m    670.73 mm   144.01 mm  
 225.00 MeV   5.800E-03  3.496E-06   21.27 m    888.44 mm   177.67 mm  
 250.00 MeV   5.321E-03  3.175E-06   25.77 m      1.09 m    214.40 mm  
