 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 23, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/8Li_900mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 8.022488 amu

 Target Density =  4.4807E-04 g/cm3 = 5.8466E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.194E-02  1.403E-02  283.28 um    99.16 um    76.87 um  
  11.00 keV   1.252E-02  1.339E-02  314.71 um   107.85 um    84.57 um  
  12.00 keV   1.307E-02  1.283E-02  346.38 um   116.33 um    92.23 um  
  13.00 keV   1.361E-02  1.231E-02  378.22 um   124.60 um    99.86 um  
  14.00 keV   1.412E-02  1.184E-02  410.19 um   132.66 um   107.42 um  
  15.00 keV   1.462E-02  1.142E-02  442.25 um   140.51 um   114.92 um  
  16.00 keV   1.510E-02  1.102E-02  474.37 um   148.15 um   122.34 um  
  17.00 keV   1.558E-02  1.066E-02  506.51 um   155.60 um   129.69 um  
  18.00 keV   1.605E-02  1.033E-02  538.63 um   162.85 um   136.95 um  
  20.00 keV   1.696E-02  9.726E-03  602.74 um   176.82 um   151.23 um  
  22.50 keV   1.805E-02  9.079E-03  682.42 um   193.29 um   168.55 um  
  25.00 keV   1.909E-02  8.525E-03  761.38 um   208.70 um   185.24 um  
  27.50 keV   2.010E-02  8.044E-03  839.48 um   223.14 um   201.32 um  
  30.00 keV   2.107E-02  7.622E-03  916.61 um   236.69 um   216.79 um  
  32.50 keV   2.201E-02  7.248E-03  992.72 um   249.43 um   231.66 um  
