 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/10Li_900mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 10.03548 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   1.593E-01  1.763E-04   26.55 mm     1.06 mm     1.33 mm  
   3.25 MeV   1.573E-01  1.646E-04   28.12 mm     1.09 mm     1.34 mm  
   3.50 MeV   1.551E-01  1.544E-04   29.72 mm     1.12 mm     1.36 mm  
   3.75 MeV   1.527E-01  1.455E-04   31.34 mm     1.14 mm     1.37 mm  
   4.00 MeV   1.501E-01  1.376E-04   32.99 mm     1.17 mm     1.38 mm  
   4.50 MeV   1.448E-01  1.243E-04   36.38 mm     1.27 mm     1.41 mm  
   5.00 MeV   1.395E-01  1.135E-04   39.89 mm     1.37 mm     1.43 mm  
   5.50 MeV   1.342E-01  1.044E-04   43.54 mm     1.47 mm     1.46 mm  
   6.00 MeV   1.292E-01  9.683E-05   47.34 mm     1.57 mm     1.48 mm  
   6.50 MeV   1.243E-01  9.031E-05   51.28 mm     1.67 mm     1.51 mm  
   7.00 MeV   1.197E-01  8.465E-05   55.37 mm     1.77 mm     1.54 mm  
   8.00 MeV   1.113E-01  7.532E-05   64.03 mm     2.16 mm     1.59 mm  
   9.00 MeV   1.039E-01  6.793E-05   73.32 mm     2.54 mm     1.65 mm  
  10.00 MeV   9.726E-02  6.192E-05   83.27 mm     2.91 mm     1.72 mm  
  11.00 MeV   9.140E-02  5.694E-05   93.87 mm     3.28 mm     1.79 mm  
  12.00 MeV   8.618E-02  5.274E-05  105.13 mm     3.66 mm     1.87 mm  
  13.00 MeV   8.152E-02  4.914E-05  117.06 mm     4.04 mm     1.95 mm  
  14.00 MeV   7.733E-02  4.603E-05  129.64 mm     4.42 mm     2.04 mm  
  15.00 MeV   7.355E-02  4.330E-05  142.90 mm     4.82 mm     2.14 mm  
  16.00 MeV   7.012E-02  4.090E-05  156.82 mm     5.21 mm     2.24 mm  
  17.00 MeV   6.701E-02  3.876E-05  171.40 mm     5.62 mm     2.35 mm  
  18.00 MeV   6.416E-02  3.684E-05  186.64 mm     6.03 mm     2.47 mm  
  20.00 MeV   5.916E-02  3.355E-05  219.09 mm     7.60 mm     2.72 mm  
  22.50 MeV   5.438E-02  3.022E-05  263.16 mm     9.85 mm     3.07 mm  
  25.00 MeV   4.994E-02  2.751E-05  311.13 mm    11.99 mm     3.45 mm  
  27.50 MeV   4.645E-02  2.527E-05  363.02 mm    14.09 mm     3.88 mm  
  30.00 MeV   4.345E-02  2.338E-05  418.65 mm    16.17 mm     4.34 mm  
  32.50 MeV   4.086E-02  2.176E-05  477.97 mm    18.25 mm     4.83 mm  
  35.00 MeV   3.858E-02  2.037E-05  540.92 mm    20.34 mm     5.36 mm  
  37.50 MeV   3.656E-02  1.915E-05  607.47 mm    22.44 mm     5.91 mm  
  40.00 MeV   3.476E-02  1.807E-05  677.57 mm    24.57 mm     6.50 mm  
  45.00 MeV   3.169E-02  1.626E-05  828.20 mm    32.60 mm     7.77 mm  
  50.00 MeV   2.916E-02  1.479E-05  992.67 mm    40.12 mm     9.16 mm  
  55.00 MeV   2.703E-02  1.357E-05    1.17 m     47.45 mm    10.65 mm  
  60.00 MeV   2.521E-02  1.255E-05    1.36 m     54.72 mm    12.26 mm  
  65.00 MeV   2.365E-02  1.168E-05    1.57 m     62.00 mm    13.98 mm  
  70.00 MeV   2.228E-02  1.092E-05    1.78 m     69.32 mm    15.80 mm  
  80.00 MeV   2.001E-02  9.680E-06    2.26 m     96.58 mm    19.75 mm  
  90.00 MeV   1.819E-02  8.702E-06    2.78 m    121.96 mm    24.10 mm  
 100.00 MeV   1.669E-02  7.910E-06    3.36 m    146.71 mm    28.84 mm  
