 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 20, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_500mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  2.4893E-04 g/cm3 = 2.7748E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.035E-03  6.805E-03  617.03 um   214.30 um   158.19 um  
  11.00 keV   5.281E-03  6.500E-03  686.62 um   233.91 um   174.72 um  
  12.00 keV   5.516E-03  6.227E-03  756.86 um   253.12 um   191.27 um  
  13.00 keV   5.741E-03  5.979E-03  827.64 um   271.91 um   207.80 um  
  14.00 keV   5.958E-03  5.754E-03  898.83 um   290.29 um   224.28 um  
  15.00 keV   6.167E-03  5.548E-03  970.36 um   308.27 um   240.68 um  
  16.00 keV   6.369E-03  5.359E-03    1.04 mm   325.83 um   257.00 um  
  17.00 keV   6.565E-03  5.184E-03    1.11 mm   343.00 um   273.21 um  
  18.00 keV   6.756E-03  5.022E-03    1.19 mm   359.77 um   289.29 um  
  20.00 keV   7.121E-03  4.732E-03    1.33 mm   392.29 um   321.09 um  
  22.50 keV   7.555E-03  4.421E-03    1.51 mm   430.96 um   359.99 um  
  25.00 keV   7.980E-03  4.153E-03    1.69 mm   467.44 um   397.84 um  
  27.50 keV   8.389E-03  3.921E-03    1.87 mm   501.86 um   434.57 um  
  30.00 keV   8.783E-03  3.717E-03    2.05 mm   534.36 um   470.17 um  
  32.50 keV   9.165E-03  3.536E-03    2.22 mm   565.09 um   504.64 um  
