 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/4He_900mb_CF4_90-10.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   5.325E-02  3.495E-05   42.02 mm     1.51 mm     1.08 mm  
   3.25 MeV   5.049E-02  3.259E-05   46.83 mm     1.66 mm     1.14 mm  
   3.50 MeV   4.801E-02  3.054E-05   51.91 mm     1.82 mm     1.21 mm  
   3.75 MeV   4.578E-02  2.875E-05   57.24 mm     1.98 mm     1.28 mm  
   4.00 MeV   4.375E-02  2.717E-05   62.82 mm     2.14 mm     1.35 mm  
   4.50 MeV   4.023E-02  2.450E-05   74.72 mm     2.74 mm     1.51 mm  
   5.00 MeV   3.727E-02  2.233E-05   87.63 mm     3.31 mm     1.69 mm  
   5.50 MeV   3.474E-02  2.053E-05  101.51 mm     3.87 mm     1.88 mm  
   6.00 MeV   3.256E-02  1.901E-05  116.37 mm     4.43 mm     2.08 mm  
   6.50 MeV   3.065E-02  1.771E-05  132.19 mm     4.98 mm     2.30 mm  
   7.00 MeV   2.897E-02  1.658E-05  148.95 mm     5.54 mm     2.53 mm  
   8.00 MeV   2.614E-02  1.473E-05  185.28 mm     7.60 mm     3.04 mm  
   9.00 MeV   2.407E-02  1.327E-05  225.12 mm     9.50 mm     3.60 mm  
  10.00 MeV   2.213E-02  1.208E-05  268.43 mm    11.35 mm     4.20 mm  
  11.00 MeV   2.057E-02  1.110E-05  315.28 mm    13.19 mm     4.85 mm  
  12.00 MeV   1.924E-02  1.027E-05  365.52 mm    15.04 mm     5.55 mm  
  13.00 MeV   1.808E-02  9.560E-06  419.11 mm    16.89 mm     6.29 mm  
  14.00 MeV   1.707E-02  8.948E-06  476.00 mm    18.77 mm     7.08 mm  
  15.00 MeV   1.617E-02  8.412E-06  536.16 mm    20.67 mm     7.91 mm  
  16.00 MeV   1.537E-02  7.939E-06  599.54 mm    22.60 mm     8.78 mm  
  17.00 MeV   1.466E-02  7.520E-06  666.11 mm    24.56 mm     9.70 mm  
  18.00 MeV   1.401E-02  7.144E-06  735.84 mm    26.54 mm    10.65 mm  
  20.00 MeV   1.289E-02  6.499E-06  884.60 mm    34.01 mm    12.68 mm  
  22.50 MeV   1.174E-02  5.846E-06    1.09 m     44.71 mm    15.44 mm  
  25.00 MeV   1.079E-02  5.317E-06    1.31 m     54.83 mm    18.44 mm  
  27.50 MeV   9.992E-03  4.880E-06    1.55 m     64.74 mm    21.68 mm  
  30.00 MeV   9.315E-03  4.511E-06    1.81 m     74.60 mm    25.16 mm  
  32.50 MeV   8.732E-03  4.197E-06    2.09 m     84.50 mm    28.86 mm  
  35.00 MeV   8.223E-03  3.925E-06    2.38 m     94.48 mm    32.78 mm  
  37.50 MeV   7.776E-03  3.687E-06    2.69 m    104.58 mm    36.93 mm  
  40.00 MeV   7.378E-03  3.478E-06    3.02 m    114.80 mm    41.29 mm  
