 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 20, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_700mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 11.04379 amu

 Target Density =  3.4850E-04 g/cm3 = 3.8846E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.050E-03  9.527E-03  440.74 um   153.07 um   113.00 um  
  11.00 keV   7.394E-03  9.101E-03  490.44 um   167.08 um   124.80 um  
  12.00 keV   7.722E-03  8.717E-03  540.62 um   180.80 um   136.62 um  
  13.00 keV   8.038E-03  8.371E-03  591.17 um   194.23 um   148.43 um  
  14.00 keV   8.341E-03  8.055E-03  642.03 um   207.35 um   160.20 um  
  15.00 keV   8.634E-03  7.767E-03  693.12 um   220.19 um   171.92 um  
  16.00 keV   8.917E-03  7.502E-03  744.38 um   232.74 um   183.57 um  
  17.00 keV   9.191E-03  7.258E-03  795.78 um   245.00 um   195.15 um  
  18.00 keV   9.458E-03  7.031E-03  847.25 um   256.98 um   206.64 um  
  20.00 keV   9.969E-03  6.625E-03  950.35 um   280.21 um   229.35 um  
  22.50 keV   1.058E-02  6.189E-03    1.08 mm   307.83 um   257.14 um  
  25.00 keV   1.117E-02  5.814E-03    1.21 mm   333.89 um   284.17 um  
  27.50 keV   1.174E-02  5.489E-03    1.33 mm   358.47 um   310.41 um  
  30.00 keV   1.230E-02  5.203E-03    1.46 mm   381.69 um   335.84 um  
  32.50 keV   1.283E-02  4.950E-03    1.59 mm   403.64 um   360.46 um  
