 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 17, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_100mb_CF4.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  3.5640E-04 g/cm3 = 1.2194E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   9.302E-02  1.541E-04   45.63 mm     2.14 mm     2.88 mm  
   3.00 MeV   9.384E-02  1.431E-04   48.29 mm     2.18 mm     2.91 mm  
   3.25 MeV   9.427E-02  1.337E-04   50.94 mm     2.22 mm     2.95 mm  
   3.50 MeV   9.438E-02  1.255E-04   53.59 mm     2.26 mm     2.98 mm  
   3.75 MeV   9.423E-02  1.183E-04   56.23 mm     2.30 mm     3.02 mm  
   4.00 MeV   9.387E-02  1.119E-04   58.88 mm     2.34 mm     3.05 mm  
   4.50 MeV   9.264E-02  1.012E-04   64.23 mm     2.47 mm     3.11 mm  
   5.00 MeV   9.094E-02  9.241E-05   69.67 mm     2.61 mm     3.16 mm  
   5.50 MeV   8.895E-02  8.512E-05   75.22 mm     2.73 mm     3.22 mm  
   6.00 MeV   8.678E-02  7.896E-05   80.90 mm     2.86 mm     3.27 mm  
   6.50 MeV   8.452E-02  7.368E-05   86.73 mm     2.99 mm     3.33 mm  
   7.00 MeV   8.223E-02  6.909E-05   92.72 mm     3.12 mm     3.38 mm  
   8.00 MeV   7.769E-02  6.153E-05  105.21 mm     3.61 mm     3.49 mm  
   9.00 MeV   7.337E-02  5.553E-05  118.44 mm     4.09 mm     3.61 mm  
  10.00 MeV   6.935E-02  5.065E-05  132.45 mm     4.56 mm     3.73 mm  
  11.00 MeV   6.564E-02  4.660E-05  147.26 mm     5.04 mm     3.85 mm  
  12.00 MeV   6.225E-02  4.318E-05  162.89 mm     5.52 mm     3.98 mm  
  13.00 MeV   5.916E-02  4.025E-05  179.36 mm     6.02 mm     4.12 mm  
  14.00 MeV   5.633E-02  3.772E-05  196.67 mm     6.52 mm     4.27 mm  
  15.00 MeV   5.374E-02  3.550E-05  214.83 mm     7.03 mm     4.42 mm  
  16.00 MeV   5.137E-02  3.354E-05  233.85 mm     7.55 mm     4.58 mm  
  17.00 MeV   4.920E-02  3.179E-05  253.73 mm     8.08 mm     4.76 mm  
  18.00 MeV   4.719E-02  3.023E-05  274.46 mm     8.62 mm     4.94 mm  
  20.00 MeV   4.364E-02  2.754E-05  318.51 mm    10.68 mm     5.33 mm  
  22.50 MeV   4.000E-02  2.482E-05  378.32 mm    13.68 mm     5.87 mm  
