 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/9Li_900mb_CF4_95-05.txt

 Ion = Lithium [3] , Mass = 9.02679 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6690E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.704E-03  7.835E-03  511.89 um   158.67 um   121.64 um  
  11.00 keV   7.031E-03  7.450E-03  570.24 um   173.31 um   134.64 um  
  12.00 keV   7.344E-03  7.107E-03  629.04 um   187.59 um   147.61 um  
  13.00 keV   7.644E-03  6.800E-03  688.18 um   201.51 um   160.53 um  
  14.00 keV   7.933E-03  6.522E-03  747.54 um   215.08 um   173.36 um  
  15.00 keV   8.211E-03  6.270E-03  807.06 um   228.29 um   186.09 um  
  16.00 keV   8.480E-03  6.040E-03  866.66 um   241.15 um   198.71 um  
  17.00 keV   8.741E-03  5.829E-03  926.29 um   253.67 um   211.20 um  
  18.00 keV   8.995E-03  5.634E-03  985.90 um   265.87 um   223.55 um  
  20.00 keV   9.519E-03  5.287E-03    1.10 mm   289.38 um   247.83 um  
  22.50 keV   1.015E-02  4.917E-03    1.25 mm   317.02 um   277.26 um  
  25.00 keV   1.075E-02  4.603E-03    1.40 mm   342.75 um   305.60 um  
  27.50 keV   1.134E-02  4.331E-03    1.54 mm   366.76 um   332.82 um  
  30.00 keV   1.191E-02  4.094E-03    1.68 mm   389.18 um   358.95 um  
  32.50 keV   1.246E-02  3.885E-03    1.82 mm   410.16 um   384.00 um  
