 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 21, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/9Li_900mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 9.02679 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.003E-02  1.058E-02  352.30 um   127.54 um    97.33 um  
  11.00 keV   1.051E-02  1.009E-02  391.42 um   138.79 um   107.22 um  
  12.00 keV   1.098E-02  9.649E-03  430.77 um   149.74 um   117.06 um  
  13.00 keV   1.143E-02  9.253E-03  470.28 um   160.39 um   126.81 um  
  14.00 keV   1.186E-02  8.894E-03  509.89 um   170.75 um   136.48 um  
  15.00 keV   1.228E-02  8.566E-03  549.56 um   180.82 um   146.04 um  
  16.00 keV   1.268E-02  8.266E-03  589.25 um   190.61 um   155.49 um  
  17.00 keV   1.307E-02  7.989E-03  628.93 um   200.13 um   164.83 um  
  18.00 keV   1.345E-02  7.734E-03  668.56 um   209.39 um   174.04 um  
  20.00 keV   1.420E-02  7.276E-03  747.58 um   227.20 um   192.13 um  
  22.50 keV   1.511E-02  6.786E-03  845.60 um   248.12 um   214.00 um  
  25.00 keV   1.597E-02  6.367E-03  942.56 um   267.65 um   235.03 um  
  27.50 keV   1.680E-02  6.003E-03    1.04 mm   285.90 um   255.23 um  
  30.00 keV   1.761E-02  5.685E-03    1.13 mm   302.98 um   274.62 um  
  32.50 keV   1.839E-02  5.403E-03    1.23 mm   319.00 um   293.23 um  
