 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 20, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/12Li_500mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 12.05378 amu

 Target Density =  2.4893E-04 g/cm3 = 2.7748E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.820E-03  7.238E-03  608.57 um   207.27 um   150.97 um  
  11.00 keV   5.055E-03  6.919E-03  677.56 um   226.50 um   166.87 um  
  12.00 keV   5.280E-03  6.633E-03  747.29 um   245.38 um   182.83 um  
  13.00 keV   5.495E-03  6.373E-03  817.66 um   263.91 um   198.81 um  
  14.00 keV   5.703E-03  6.136E-03  888.54 um   282.06 um   214.79 um  
  15.00 keV   5.903E-03  5.920E-03  959.84 um   299.86 um   230.75 um  
  16.00 keV   6.097E-03  5.720E-03    1.03 mm   317.29 um   246.65 um  
  17.00 keV   6.284E-03  5.536E-03    1.10 mm   334.36 um   262.48 um  
  18.00 keV   6.466E-03  5.366E-03    1.18 mm   351.08 um   278.23 um  
  20.00 keV   6.816E-03  5.060E-03    1.32 mm   383.58 um   309.47 um  
  22.50 keV   7.230E-03  4.730E-03    1.50 mm   422.39 um   347.87 um  
  25.00 keV   7.626E-03  4.446E-03    1.68 mm   459.20 um   385.40 um  
  27.50 keV   8.013E-03  4.200E-03    1.86 mm   494.08 um   421.99 um  
  30.00 keV   8.387E-03  3.983E-03    2.04 mm   527.14 um   457.61 um  
  32.50 keV   8.748E-03  3.791E-03    2.22 mm   558.51 um   492.22 um  
