 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 13, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/12Li_900mb_CF4_95-5.txt

 Ion = Lithium [3] , Mass = 12.05378 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6688E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.051E-03  9.577E-03  482.54 um   140.03 um   102.78 um  
  11.00 keV   6.347E-03  9.131E-03  538.30 um   153.46 um   113.99 um  
  12.00 keV   6.629E-03  8.731E-03  594.75 um   166.65 um   125.28 um  
  13.00 keV   6.899E-03  8.372E-03  651.75 um   179.62 um   136.61 um  
  14.00 keV   7.160E-03  8.045E-03  709.22 um   192.34 um   147.96 um  
  15.00 keV   7.411E-03  7.748E-03  767.06 um   204.81 um   159.31 um  
  16.00 keV   7.654E-03  7.475E-03  825.22 um   217.03 um   170.64 um  
  17.00 keV   7.890E-03  7.224E-03  883.61 um   229.01 um   181.93 um  
  18.00 keV   8.118E-03  6.992E-03  942.19 um   240.74 um   193.18 um  
  20.00 keV   8.558E-03  6.577E-03    1.06 mm   263.64 um   215.52 um  
  22.50 keV   9.077E-03  6.132E-03    1.21 mm   291.01 um   243.03 um  
  25.00 keV   9.581E-03  5.752E-03    1.35 mm   316.93 um   269.95 um  
  27.50 keV   1.009E-02  5.423E-03    1.50 mm   341.45 um   296.22 um  
  30.00 keV   1.058E-02  5.134E-03    1.65 mm   364.62 um   321.78 um  
  32.50 keV   1.105E-02  4.879E-03    1.79 mm   386.53 um   346.60 um  
