 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/10Li_900mb_CF4_95-05.txt

 Ion = Lithium [3] , Mass = 10.03548 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6690E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.358E-03  8.445E-03  503.30 um   152.73 um   114.99 um  
  11.00 keV   6.669E-03  8.038E-03  561.17 um   167.10 um   127.45 um  
  12.00 keV   6.965E-03  7.674E-03  619.60 um   181.17 um   139.93 um  
  13.00 keV   7.250E-03  7.348E-03  678.47 um   194.93 um   152.40 um  
  14.00 keV   7.523E-03  7.053E-03  737.69 um   208.38 um   164.84 um  
  15.00 keV   7.787E-03  6.784E-03  797.17 um   221.51 um   177.22 um  
  16.00 keV   8.043E-03  6.539E-03  856.83 um   234.34 um   189.53 um  
  17.00 keV   8.290E-03  6.313E-03  916.61 um   246.87 um   201.76 um  
  18.00 keV   8.531E-03  6.105E-03  976.46 um   259.09 um   213.88 um  
  20.00 keV   8.992E-03  5.734E-03    1.10 mm   282.81 um   237.82 um  
  22.50 keV   9.580E-03  5.338E-03    1.25 mm   310.91 um   267.05 um  
  25.00 keV   1.015E-02  5.000E-03    1.39 mm   337.22 um   295.38 um  
  27.50 keV   1.069E-02  4.708E-03    1.54 mm   361.90 um   322.77 um  
  30.00 keV   1.122E-02  4.453E-03    1.68 mm   385.07 um   349.20 um  
  32.50 keV   1.173E-02  4.227E-03    1.83 mm   406.84 um   374.68 um  
