 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/3He_900mb_CF4_90-10.txt

 Ion = Helium [2] , Mass = 3.016029 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.782E-02  2.332E-03  456.18 um   158.26 um   146.18 um  
  11.00 keV   1.873E-02  2.199E-03  496.34 um   166.26 um   155.40 um  
  12.00 keV   1.960E-02  2.082E-03  535.53 um   173.60 um   164.05 um  
  13.00 keV   2.044E-02  1.979E-03  573.80 um   180.38 um   172.19 um  
  14.00 keV   2.125E-02  1.887E-03  611.21 um   186.64 um   179.88 um  
  15.00 keV   2.203E-02  1.804E-03  647.80 um   192.47 um   187.16 um  
  16.00 keV   2.280E-02  1.729E-03  683.62 um   197.89 um   194.07 um  
  17.00 keV   2.354E-02  1.661E-03  718.71 um   202.96 um   200.64 um  
  18.00 keV   2.426E-02  1.599E-03  753.10 um   207.72 um   206.89 um  
  20.00 keV   2.564E-02  1.490E-03  819.96 um   216.46 um   218.57 um  
  22.50 keV   2.728E-02  1.374E-03  900.22 um   226.11 um   231.80 um  
  25.00 keV   2.884E-02  1.278E-03  977.18 um   234.56 um   243.77 um  
  27.50 keV   3.033E-02  1.195E-03    1.05 mm   242.05 um   254.68 um  
  30.00 keV   3.174E-02  1.124E-03    1.12 mm   248.74 um   264.67 um  
  32.50 keV   3.310E-02  1.062E-03    1.19 mm   254.76 um   273.89 um  
