 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 23, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/7Li_900mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  4.4807E-04 g/cm3 = 5.8466E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.276E-02  1.278E-02  287.06 um   102.70 um    81.31 um  
  11.00 keV   1.339E-02  1.219E-02  318.61 um   111.51 um    89.31 um  
  12.00 keV   1.398E-02  1.166E-02  350.31 um   120.06 um    97.24 um  
  13.00 keV   1.455E-02  1.118E-02  382.13 um   128.37 um   105.09 um  
  14.00 keV   1.510E-02  1.075E-02  414.00 um   136.43 um   112.85 um  
  15.00 keV   1.565E-02  1.035E-02  445.89 um   144.26 um   120.51 um  
  16.00 keV   1.618E-02  9.986E-03  477.75 um   151.85 um   128.07 um  
  17.00 keV   1.671E-02  9.652E-03  509.55 um   159.22 um   135.52 um  
  18.00 keV   1.722E-02  9.343E-03  541.27 um   166.36 um   142.85 um  
  20.00 keV   1.820E-02  8.789E-03  604.40 um   180.05 um   157.18 um  
  22.50 keV   1.939E-02  8.195E-03  682.55 um   196.09 um   174.44 um  
  25.00 keV   2.052E-02  7.687E-03  759.68 um   210.99 um   190.96 um  
  27.50 keV   2.162E-02  7.247E-03  835.69 um   224.86 um   206.76 um  
  30.00 keV   2.268E-02  6.861E-03  910.52 um   237.81 um   221.86 um  
  32.50 keV   2.371E-02  6.520E-03  984.12 um   249.90 um   236.31 um  
