 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 20, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/proton_700mb_CF4_90-10.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.4850E-04 g/cm3 = 3.8846E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.667E-02  2.126E-04  751.04 um   186.22 um   194.56 um  
  11.00 keV   1.749E-02  1.987E-04  804.18 um   190.85 um   201.66 um  
  12.00 keV   1.824E-02  1.868E-04  855.41 um   194.97 um   208.14 um  
  13.00 keV   1.895E-02  1.763E-04  904.97 um   198.69 um   214.11 um  
  14.00 keV   1.962E-02  1.671E-04  953.06 um   202.06 um   219.64 um  
  15.00 keV   2.024E-02  1.589E-04  999.86 um   205.14 um   224.80 um  
  16.00 keV   2.082E-02  1.516E-04    1.05 mm   207.97 um   229.63 um  
  17.00 keV   2.136E-02  1.449E-04    1.09 mm   210.59 um   234.18 um  
  18.00 keV   2.187E-02  1.389E-04    1.13 mm   213.03 um   238.47 um  
  20.00 keV   2.279E-02  1.284E-04    1.22 mm   217.59 um   246.41 um  
  22.50 keV   2.382E-02  1.175E-04    1.32 mm   222.65 um   255.34 um  
  25.00 keV   2.472E-02  1.085E-04    1.42 mm   227.10 um   263.39 um  
  27.50 keV   2.553E-02  1.009E-04    1.52 mm   231.07 um   270.72 um  
  30.00 keV   2.627E-02  9.436E-05    1.61 mm   234.64 um   277.48 um  
  32.50 keV   2.693E-02  8.871E-05    1.70 mm   237.90 um   283.75 um  
