 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 19, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/9He_900mb_CF4_95-5.txt

 Ion = Helium [2] , Mass = 9.04395 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6754E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    002.33    009.53   
      F      9    009.30    060.15   
      H      1    088.37    030.32   
 ====================================
 Bragg Correction = -4.31%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   6.556E-02  5.634E-05   49.59 mm     1.66 mm     1.81 mm  
   3.00 MeV   6.277E-02  5.223E-05   53.48 mm     1.75 mm     1.83 mm  
   3.25 MeV   6.016E-02  4.871E-05   57.54 mm     1.85 mm     1.86 mm  
   3.50 MeV   5.773E-02  4.566E-05   61.78 mm     1.95 mm     1.88 mm  
   3.75 MeV   5.556E-02  4.299E-05   66.19 mm     2.05 mm     1.91 mm  
   4.00 MeV   5.362E-02  4.063E-05   70.77 mm     2.16 mm     1.94 mm  
   4.50 MeV   5.011E-02  3.664E-05   80.41 mm     2.56 mm     2.00 mm  
   5.00 MeV   4.705E-02  3.340E-05   90.70 mm     2.96 mm     2.06 mm  
   5.50 MeV   4.435E-02  3.072E-05  101.64 mm     3.35 mm     2.13 mm  
   6.00 MeV   4.194E-02  2.845E-05  113.22 mm     3.74 mm     2.20 mm  
   6.50 MeV   3.979E-02  2.651E-05  125.46 mm     4.13 mm     2.28 mm  
   7.00 MeV   3.786E-02  2.483E-05  138.33 mm     4.52 mm     2.36 mm  
   8.00 MeV   3.453E-02  2.206E-05  165.98 mm     6.00 mm     2.55 mm  
   9.00 MeV   3.175E-02  1.987E-05  196.17 mm     7.38 mm     2.76 mm  
  10.00 MeV   2.941E-02  1.810E-05  228.88 mm     8.73 mm     2.99 mm  
  11.00 MeV   2.741E-02  1.663E-05  264.08 mm    10.07 mm     3.25 mm  
