 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 23, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/8Li_900mb_CF4_95-5.txt

 Ion = Lithium [3] , Mass = 8.022488 amu

 Target Density =  2.9667E-04 g/cm3 = 6.0820E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.410E-03  1.253E-02  350.59 um   101.24 um    79.26 um  
  11.00 keV   9.869E-03  1.195E-02  390.06 um   110.37 um    87.44 um  
  12.00 keV   1.031E-02  1.143E-02  429.89 um   119.31 um    95.61 um  
  13.00 keV   1.073E-02  1.096E-02  469.99 um   128.03 um   103.76 um  
  14.00 keV   1.113E-02  1.053E-02  510.30 um   136.54 um   111.87 um  
  15.00 keV   1.152E-02  1.014E-02  550.77 um   144.85 um   119.93 um  
  16.00 keV   1.190E-02  9.782E-03  591.36 um   152.96 um   127.94 um  
  17.00 keV   1.230E-02  9.453E-03  631.99 um   160.86 um   135.87 um  
  18.00 keV   1.268E-02  9.148E-03  672.60 um   168.55 um   143.73 um  
  20.00 keV   1.343E-02  8.604E-03  753.66 um   183.43 um   159.20 um  
  22.50 keV   1.433E-02  8.020E-03  854.38 um   200.99 um   178.01 um  
  25.00 keV   1.519E-02  7.521E-03  954.15 um   217.40 um   196.18 um  
  27.50 keV   1.603E-02  7.089E-03    1.05 mm   232.74 um   213.69 um  
  30.00 keV   1.684E-02  6.711E-03    1.15 mm   247.11 um   230.54 um  
  32.50 keV   1.763E-02  6.376E-03    1.25 mm   260.59 um   246.74 um  
