! 7Li range in C10F40H180
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	344.668   	0.001000	344.668   	0.001000	266.567   	0.001000	266.567   	0.001000	266.613   	0.001000	0         	0.001000	0         	0.001000	3.85804   	0.001000	7.84925   	0.001000	3.99499   	
0.002000	689.336   	0.002000	689.336   	0.002000	533.133   	0.002000	533.133   	0.002000	533.226   	0.002000	23.2541   	0.002000	23.2541   	0.002000	11.2981   	0.002000	22.2092   	0.002000	12.2492   	
0.005000	1569.86   	0.005000	1569.86   	0.005000	1196.62   	0.005000	1196.62   	0.005000	1196.76   	0.005000	27.4367   	0.005000	27.4367   	0.005000	39.1426   	0.005000	74.4367   	0.005000	44.1291   	
0.008000	2276.93   	0.008000	2276.93   	0.008000	1731.82   	0.008000	1731.82   	0.008000	1731.98   	0.008000	27.571    	0.008000	27.571    	0.008000	69.0819   	0.008000	129.471   	0.008000	79.1287   	
0.010000	2685.93   	0.010000	2685.93   	0.010000	2044.74   	0.010000	2044.74   	0.010000	2044.91   	0.010000	28.0051   	0.010000	28.0051   	0.010000	89.1792   	0.010000	166.057   	0.010000	102.849   	
0.015000	3565.2    	0.015000	3565.2    	0.015000	2731.65   	0.015000	2731.65   	0.015000	2731.82   	0.015000	30.0653   	0.015000	30.0653   	0.015000	139.062   	0.015000	255.949   	0.015000	162.411   	
0.020000	4304.17   	0.020000	4304.17   	0.020000	3335.55   	0.020000	3335.55   	0.020000	3335.72   	0.020000	32.763    	0.020000	32.763    	0.020000	184.96    	0.020000	334.402   	0.020000	222.729   	
0.025000	4935.38   	0.025000	4935.38   	0.025000	3879.21   	0.025000	3879.21   	0.025000	3879.39   	0.025000	35.4976   	0.025000	35.4976   	0.025000	227.015   	0.025000	402.821   	0.025000	277.066   	
0.030000	5487.41   	0.030000	5487.41   	0.030000	4375      	0.030000	4375      	0.030000	4375.18   	0.030000	38.0362   	0.030000	38.0362   	0.030000	266.528   	0.030000	465.13    	0.030000	317.255   	
0.035000	5984.72   	0.035000	5984.72   	0.035000	4832.53   	0.035000	4832.53   	0.035000	4832.71   	0.035000	40.3316   	0.035000	40.3316   	0.035000	303.845   	0.035000	522.67    	0.035000	348.75    	
0.040000	6442.17   	0.040000	6442.17   	0.040000	5259.13   	0.040000	5259.13   	0.040000	5259.31   	0.040000	42.3984   	0.040000	42.3984   	0.040000	337.525   	0.040000	573.977   	0.040000	374.624   	
0.045000	6868.7    	0.045000	6868.7    	0.045000	5660.23   	0.045000	5660.23   	0.045000	5660.41   	0.045000	44.2653   	0.045000	44.2653   	0.045000	365.431   	0.045000	615.948   	0.045000	396.835   	
0.050000	7270.17   	0.050000	7270.17   	0.050000	6040.05   	0.050000	6040.05   	0.050000	6040.23   	0.050000	45.9621   	0.050000	45.8965   	0.050000	388.703   	0.050000	650.792   	0.050000	415.757   	
0.055000	7650.54   	0.055000	7650.54   	0.055000	6401.88   	0.055000	6401.88   	0.055000	6402.06   	0.055000	47.5156   	0.055000	47.3394   	0.055000	409.031   	0.055000	681.146   	0.055000	432.539   	
0.060000	8012.74   	0.060000	8012.74   	0.060000	6748.38   	0.060000	6748.38   	0.060000	6748.56   	0.060000	48.9487   	0.060000	48.659    	0.060000	427       	0.060000	707.856   	0.060000	447.6     	
0.070000	8692.4    	0.070000	8692.4    	0.070000	7403.66   	0.070000	7403.66   	0.070000	7403.84   	0.070000	51.5267   	0.070000	51.0154   	0.070000	457.591   	0.070000	753.066   	0.070000	473.694   	
0.080000	9324.69   	0.080000	9324.69   	0.080000	8019.16   	0.080000	8019.16   	0.080000	8019.34   	0.080000	53.8128   	0.080000	53.0962   	0.080000	483.203   	0.080000	790.649   	0.080000	495.979   	
0.090000	9920.73   	0.090000	9920.73   	0.090000	8604.32   	0.090000	8604.32   	0.090000	8604.5    	0.090000	55.8878   	0.090000	54.9829   	0.090000	505.386   	0.090000	822.986   	0.090000	515.373   	
0.100000	10488.7   	0.100000	10488.7   	0.100000	9166.07   	0.100000	9166.07   	0.100000	9166.26   	0.100000	57.8086   	0.100000	56.714    	0.100000	524.966   	0.100000	851.353   	0.100000	532.942   	
0.120000	11558.1   	0.120000	11558.1   	0.120000	10239.1   	0.120000	10239.1   	0.120000	10239.3   	0.120000	61.341    	0.120000	59.855    	0.120000	558.657   	0.120000	899.722   	0.120000	563.283   	
0.140000	12563.1   	0.140000	12563.1   	0.140000	11267.6   	0.140000	11267.6   	0.140000	11267.8   	0.140000	64.6276   	0.140000	62.7381   	0.140000	587.722   	0.140000	940.868   	0.140000	590.003   	
0.160000	13527     	0.160000	13527     	0.160000	12270.2   	0.160000	12270.2   	0.160000	12270.4   	0.160000	67.7962   	0.160000	65.4894   	0.160000	613.852   	0.160000	977.368   	0.160000	614.338   	
