! 12Li range in H180C10F40
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	560.266   	0.001000	560.266   	0.001000	438.585   	0.001000	438.585   	0.001000	438.717   	0.001000	0         	0.001000	0         	0.001000	8.34957   	0.001000	16.5723   	0.001000	8.94182   	
0.002000	1120.53   	0.002000	1120.53   	0.002000	877.17    	0.002000	877.17    	0.002000	877.434   	0.002000	28.4928   	0.002000	28.4928   	0.002000	24.4532   	0.002000	46.9019   	0.002000	27.2992   	
0.005000	2596.6    	0.005000	2596.6    	0.005000	1996.05   	0.005000	1996.05   	0.005000	1996.45   	0.005000	33.9242   	0.005000	33.9242   	0.005000	86.6725   	0.005000	160.644   	0.005000	100.406   	
0.008000	3798.59   	0.008000	3798.59   	0.008000	2908.22   	0.008000	2908.22   	0.008000	2908.67   	0.008000	34.1069   	0.008000	34.1069   	0.008000	154.567   	0.008000	282.349   	0.008000	181.705   	
0.010000	4496.73   	0.010000	4496.73   	0.010000	3443.16   	0.010000	3443.16   	0.010000	3443.63   	0.010000	34.7006   	0.010000	34.7006   	0.010000	198.521   	0.010000	358.863   	0.010000	237.065   	
0.015000	6001.41   	0.015000	6001.41   	0.015000	4619.69   	0.015000	4619.69   	0.015000	4620.19   	0.015000	37.5215   	0.015000	37.5215   	0.015000	297.222   	0.015000	519.771   	0.015000	366.179   	
0.020000	7267.83   	0.020000	7267.83   	0.020000	5655.1    	0.020000	5655.1    	0.020000	5655.62   	0.020000	41.1983   	0.020000	41.1983   	0.020000	389.234   	0.020000	659.296   	0.020000	451.949   	
0.025000	8350.5    	0.025000	8350.5    	0.025000	6587.82   	0.025000	6587.82   	0.025000	6588.34   	0.025000	44.9072   	0.025000	44.9072   	0.025000	468.533   	0.025000	772.953   	0.025000	514.504   	
0.030000	9297.8    	0.030000	9297.8    	0.030000	7438.71   	0.030000	7438.71   	0.030000	7439.24   	0.030000	48.3359   	0.030000	48.3359   	0.030000	527.941   	0.030000	857.116   	0.030000	563.254   	
0.035000	10151.4   	0.035000	10151.4   	0.035000	8224.12   	0.035000	8224.12   	0.035000	8224.66   	0.035000	51.4262   	0.035000	51.4262   	0.035000	574.867   	0.035000	923.489   	0.035000	602.906   	
0.040000	10936.8   	0.040000	10936.8   	0.040000	8956.54   	0.040000	8956.54   	0.040000	8957.08   	0.040000	54.2018   	0.040000	54.2018   	0.040000	613.583   	0.040000	978.304   	0.040000	636.27    	
0.045000	11669.2   	0.045000	11669.2   	0.045000	9645.28   	0.045000	9645.28   	0.045000	9645.82   	0.045000	56.704    	0.045000	56.704    	0.045000	646.724   	0.045000	1025.15   	0.045000	664.955   	
0.050000	12358.6   	0.050000	12358.6   	0.050000	10297.5   	0.050000	10297.5   	0.050000	10298.1   	0.050000	58.9746   	0.050000	58.8869   	0.050000	675.178   	0.050000	1065.49   	0.050000	690.166   	
0.055000	13011.8   	0.055000	13011.8   	0.055000	10918.9   	0.055000	10918.9   	0.055000	10919.5   	0.055000	61.0508   	0.055000	60.8153   	0.055000	700.294   	0.055000	1101.1    	0.055000	712.372   	
0.060000	13633.8   	0.060000	13633.8   	0.060000	11514     	0.060000	11514     	0.060000	11514.5   	0.060000	62.9639   	0.060000	62.5773   	0.060000	722.84    	0.060000	1132.96   	0.060000	732.482   	
0.070000	14801.2   	0.070000	14801.2   	0.070000	12639.5   	0.070000	12639.5   	0.070000	12640     	0.070000	66.4009   	0.070000	65.7199   	0.070000	761.921   	0.070000	1188.06   	0.070000	767.771   	
0.080000	15887.2   	0.080000	15887.2   	0.080000	13696.7   	0.080000	13696.7   	0.080000	13697.2   	0.080000	69.4443   	0.080000	68.491    	0.080000	795.291   	0.080000	1234.73   	0.080000	798.372   	
0.090000	16911     	0.090000	16911     	0.090000	14701.8   	0.090000	14701.8   	0.090000	14702.3   	0.090000	72.2036   	0.090000	71.001    	0.090000	824.211   	0.090000	1274.94   	0.090000	825.013   	
0.100000	17886.7   	0.100000	17886.7   	0.100000	15666.8   	0.100000	15666.8   	0.100000	15667.3   	0.100000	74.7554   	0.100000	73.3019   	0.100000	850.4     	0.100000	1310.94   	0.100000	849.431   	
0.120000	19723.6   	0.120000	19723.6   	0.120000	17510     	0.120000	17510     	0.120000	17510.5   	0.120000	79.4427   	0.120000	77.4722   	0.120000	895.694   	0.120000	1372.45   	0.120000	892.72    	
0.140000	21450     	0.140000	21450     	0.140000	19276.9   	0.140000	19276.9   	0.140000	19277.4   	0.140000	83.7985   	0.140000	81.2956   	0.140000	935.432   	0.140000	1425.15   	0.140000	931.307   	
0.160000	23105.9   	0.160000	23105.9   	0.160000	20999.2   	0.160000	20999.2   	0.160000	20999.7   	0.160000	87.9936   	0.160000	84.9406   	0.160000	971.463   	0.160000	1471.92   	0.160000	966.735   	
0.180000	24720.2   	0.180000	24720.2   	0.180000	22698.2   	0.180000	22698.2   	0.180000	22698.7   	0.180000	92.135    	0.180000	88.5099   	0.180000	1004.78   	0.180000	1514.22   	0.180000	1000.38   	
0.200000	26310.7   	0.200000	26310.7   	0.200000	24388.4   	0.200000	24388.4   	0.200000	24388.9   	0.200000	96.2938   	0.200000	92.0697   	0.200000	1036.49   	0.200000	1553.68   	0.200000	1032.6    	
0.250000	30258.5   	0.250000	30258.5   	0.250000	28637     	0.250000	28637     	0.250000	28637.5   	0.250000	107.054   	0.250000	101.19    	0.250000	1111.14   	0.250000	1643.67   	0.250000	1110.38   	
0.300000	34194.9   	0.300000	34194.9   	0.300000	32978.8   	0.300000	32978.8   	0.300000	32979.4   	0.300000	118.573   	0.300000	110.843   	0.300000	1182.5    	0.300000	1727.83   	0.300000	1186.46   	
0.350000	38174.6   	0.350000	38174.6   	0.350000	37436.8   	0.350000	37436.8   	0.350000	37437.3   	0.350000	130.85    	0.350000	121.046   	0.350000	1251.66   	0.350000	1808.97   	0.350000	1261.51   	
0.400000	42244.3   	0.400000	42244.3   	0.400000	42045.8   	0.400000	42045.8   	0.400000	42046.4   	0.400000	144.051   	0.400000	131.932   	0.400000	1318.06   	0.400000	1889.15   	0.400000	1337.23   	
0.450000	46438.9   	0.450000	46438.9   	0.450000	46831.8   	0.450000	46831.8   	0.450000	46832.3   	0.450000	158.306   	0.450000	143.601   	0.450000	1379.35   	0.450000	1969.56   	0.450000	1414      	
0.500000	50776.8   	0.500000	50776.8   	0.500000	51806.6   	0.500000	51806.6   	0.500000	51807.1   	0.500000	173.652   	0.500000	156.071   	0.500000	1441.04   	0.500000	2050.51   	0.500000	1492.6    	
0.600000	59890.9   	0.600000	59890.9   	0.600000	62331.3   	0.600000	62331.3   	0.600000	62331.8   	0.600000	207.482   	0.600000	183.543   	0.600000	1566.65   	0.600000	2215.1    	0.600000	1638.06   	
0.700000	69677.9   	0.700000	69677.9   	0.700000	73616.9   	0.700000	73616.9   	0.700000	73617.4   	0.700000	245.202   	0.700000	215.289   	0.700000	1695.79   	0.700000	2383.7    	0.700000	1714.97   	
0.800000	80104.8   	0.800000	80104.8   	0.800000	85645.9   	0.800000	85645.9   	0.800000	85646.4   	0.800000	286.466   	0.800000	250.549   	0.800000	1829.93   	0.800000	2557.41   	0.800000	1798.66   	
0.900000	91114.8   	0.900000	91114.8   	0.900000	98398.9   	0.900000	98398.9   	0.900000	98399.4   	0.900000	330.997   	0.900000	288.619   	0.900000	1965.53   	0.900000	2735.53   	0.900000	1887.41   	
1.000000	102785    	1.000000	102785    	1.000000	111875    	1.000000	111875    	1.000000	111876    	1.000000	378.763   	1.000000	329.184   	1.000000	2102.32   	1.000000	2918.92   	1.000000	1981.92   	
1.250000	135047    	1.250000	135047    	1.250000	148708    	1.250000	148708    	1.250000	148708    	1.250000	512.016   	1.250000	440.217   	1.250000	2361.57   	1.250000	3239.16   	1.250000	2240.92   	
1.500000	172545    	1.500000	172545    	1.500000	189835    	1.500000	189835    	1.500000	189835    	1.500000	663.28    	1.500000	562.528   	1.500000	2650.56   	1.500000	3582.66   	1.500000	2530.45   	
1.750000	215647    	1.750000	215647    	1.750000	235152    	1.750000	235152    	1.750000	235152    	1.750000	832.042   	1.750000	695.094   	1.750000	2969.39   	1.750000	3961.63   	1.750000	2849.37   	
2.000000	263908    	2.000000	263908    	2.000000	284624    	2.000000	284624    	2.000000	284624    	2.000000	1018.46   	2.000000	837.728   	2.000000	3317.37   	2.000000	4374.17   	2.000000	3197.26   	
2.250000	317026    	2.250000	317026    	2.250000	338256    	2.250000	338256    	2.250000	338257    	2.250000	1223.05   	2.250000	990.61    	2.250000	3694.34   	2.250000	4819.34   	2.250000	3574.17   	
2.500000	374879    	2.500000	374800    	2.500000	396067    	2.500000	396067    	2.500000	396067    	2.500000	1446.3    	2.500000	1153.97   	2.500000	4100.36   	2.500000	5296.62   	2.500000	3980.25   	
3.000000	508615    	3.000000	503718    	3.000000	524269    	3.000000	524269    	3.000000	524269    	3.000000	1950.24   	3.000000	1512.74   	3.000000	4999.76   	3.000000	6346.12   	3.000000	4880.55   	
3.500000	659894    	3.500000	649849    	3.500000	669266    	3.500000	669266    	3.500000	669267    	3.500000	2532.22   	3.500000	1914.77   	3.500000	6015.72   	3.500000	7520.14   	3.500000	5898.8    	
4.000000	828400    	4.000000	812736    	4.000000	831013    	4.000000	831013    	4.000000	831014    	4.000000	3192.96   	4.000000	2359.92   	4.000000	7148.12   	4.000000	8816.56   	4.000000	7035.18   	
4.500000	1.01385e+06	4.500000	992070    	4.500000	1.0094e+06	4.500000	1.0094e+06	4.500000	1.0094e+06	4.500000	3932.43   	4.500000	2847.43   	4.500000	8396.39   	4.500000	10233.2   	4.500000	8289.34   	
5.000000	1.216e+06 	5.000000	1.18761e+06	5.000000	1.20429e+06	5.000000	1.20429e+06	5.000000	1.20429e+06	5.000000	4750.17   	5.000000	3376.4    	5.000000	9759.76   	5.000000	11767.9   	5.000000	9660.64   	
5.500000	1.43462e+06	5.500000	1.39912e+06	5.500000	1.41552e+06	5.500000	1.41552e+06	5.500000	1.41552e+06	5.500000	5645.47   	5.500000	3945.97   	5.500000	11237.1   	5.500000	13418.4   	5.500000	11148     	
6.000000	1.6695e+06	6.000000	1.62638e+06	6.000000	1.64292e+06	6.000000	1.64292e+06	6.000000	1.64292e+06	6.000000	6617.56   	6.000000	4555.32   	6.000000	12827.5   	6.000000	15182.9   	6.000000	12750.8   	
6.500000	1.92045e+06	6.500000	1.86921e+06	6.500000	1.88632e+06	6.500000	1.88632e+06	6.500000	1.88632e+06	6.500000	7665.64   	6.500000	5203.59   	6.500000	14529.9   	6.500000	17059.1   	6.500000	14467.6   	
7.000000	2.18729e+06	7.000000	2.12743e+06	7.000000	2.14556e+06	7.000000	2.14556e+06	7.000000	2.14556e+06	7.000000	8788.96   	7.000000	5890.08   	7.000000	16343.2   	7.000000	19045.5   	7.000000	16297.8   	
7.500000	2.46986e+06	7.500000	2.40088e+06	7.500000	2.42049e+06	7.500000	2.42049e+06	7.500000	2.42049e+06	7.500000	9986.81   	7.500000	6614.12   	7.500000	18266.4   	7.500000	21140.3   	7.500000	18240.3   	
8.000000	2.768e+06 	8.000000	2.68939e+06	8.000000	2.71096e+06	8.000000	2.71096e+06	8.000000	2.71095e+06	8.000000	11258.5   	8.000000	7375.06   	8.000000	20298.6   	8.000000	23342     	8.000000	20294.3   	
8.500000	3.08157e+06	8.500000	2.99284e+06	8.500000	3.01682e+06	8.500000	3.01682e+06	8.500000	3.01682e+06	8.500000	12603.5   	8.500000	8172.18   	8.500000	22439     	8.500000	25649.2   	8.500000	22458.8   	
9.000000	3.41043e+06	9.000000	3.31108e+06	9.000000	3.33797e+06	9.000000	3.33797e+06	9.000000	3.33797e+06	9.000000	14021.3   	9.000000	9004.86   	9.000000	24686.8   	9.000000	28060.5   	9.000000	24733.1   	
9.500000	3.75444e+06	9.500000	3.64399e+06	9.500000	3.67427e+06	9.500000	3.67427e+06	9.500000	3.67427e+06	9.500000	15511.2   	9.500000	9872.71   	9.500000	27041.2   	9.500000	30574.7   	9.500000	27116.5   	
10.000000	4.11349e+06	10.000000	3.99152e+06	10.000000	4.02561e+06	10.000000	4.02561e+06	10.000000	4.02561e+06	10.000000	17073.1   	10.000000	10775.5   	10.000000	29501.4   	10.000000	33190.8   	10.000000	29608.4   	
11.000000	4.87622e+06	11.000000	4.73483e+06	11.000000	4.77345e+06	11.000000	4.77339e+06	11.000000	4.77346e+06	11.000000	20416.4   	11.000000	12688.4   	11.000000	34740.9   	11.000000	38728.1   	11.000000	34918.8   	
12.000000	5.69772e+06	12.000000	5.5365e+06	12.000000	5.58115e+06	12.000000	5.58092e+06	12.000000	5.5812e+06	12.000000	24053     	12.000000	14743.6   	12.000000	40404.6   	12.000000	44668.9   	12.000000	40663.8   	
13.000000	6.57717e+06	13.000000	6.39579e+06	13.000000	6.44797e+06	13.000000	6.44746e+06	13.000000	6.44807e+06	13.000000	27978.5   	13.000000	16937.1   	13.000000	46488.1   	13.000000	51006.3   	13.000000	46839.2   	
14.000000	7.51381e+06	14.000000	7.31202e+06	14.000000	7.37318e+06	14.000000	7.37233e+06	14.000000	7.37338e+06	14.000000	32189.4   	14.000000	19265.3   	14.000000	52987     	14.000000	57733.9   	14.000000	53441     	
15.000000	8.50691e+06	15.000000	8.28456e+06	15.000000	8.35613e+06	15.000000	8.35486e+06	15.000000	8.35647e+06	15.000000	36681.9   	15.000000	21726.6   	15.000000	59897.5   	15.000000	64845.8   	15.000000	60465.3   	
16.000000	9.55581e+06	16.000000	9.3128e+06	16.000000	9.39615e+06	16.000000	9.39443e+06	16.000000	9.39668e+06	16.000000	41452.6   	16.000000	24319     	16.000000	67215.3   	16.000000	72336.2   	16.000000	67908.1   	
17.000000	1.06599e+07	17.000000	1.03962e+07	17.000000	1.04926e+07	17.000000	1.04904e+07	17.000000	1.04934e+07	17.000000	46498.1   	17.000000	27038.8   	17.000000	74936.6   	17.000000	80199.8   	17.000000	75765.8   	
18.000000	1.18185e+07	18.000000	1.15341e+07	18.000000	1.16449e+07	18.000000	1.16422e+07	18.000000	1.1646e+07	18.000000	51814.7   	18.000000	29883.4   	18.000000	83057.2   	18.000000	88431     	18.000000	84034.3   	
19.000000	1.30311e+07	19.000000	1.27262e+07	19.000000	1.28525e+07	19.000000	1.28492e+07	19.000000	1.28539e+07	19.000000	57398.7   	19.000000	32850.6   	19.000000	91572.8   	19.000000	97024.5   	19.000000	92709.6   	
20.000000	1.42972e+07	20.000000	1.39718e+07	20.000000	1.41146e+07	20.000000	1.41108e+07	20.000000	1.41164e+07	20.000000	63246.4   	20.000000	35938.1   	20.000000	100479    	20.000000	105975    	20.000000	101788    	
21.000000	1.56162e+07	21.000000	1.52705e+07	21.000000	1.54307e+07	21.000000	1.54264e+07	21.000000	1.5433e+07	21.000000	69353.8   	21.000000	39143.7   	21.000000	109772    	21.000000	115277    	21.000000	111264    	
