! 4He range in H180C10F40
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	346.622   	0.001000	346.622   	0.001000	266.365   	0.001000	266.365   	0.001000	266.475   	0.001000	0         	0.001000	0         	0.001000	3.87615   	0.001000	7.84318   	0.001000	3.99165   	
0.002000	693.243   	0.002000	693.243   	0.002000	532.729   	0.002000	532.729   	0.002000	532.951   	0.002000	27.5982   	0.002000	27.5982   	0.002000	11.3512   	0.002000	22.192    	0.002000	12.239    	
0.005000	1439.53   	0.005000	1439.53   	0.005000	1102.82   	0.005000	1102.82   	0.005000	1103.13   	0.005000	31.132    	0.005000	31.132    	0.005000	34.4145   	0.005000	65.6779   	0.005000	38.2023   	
0.008000	1980.74   	0.008000	1980.74   	0.008000	1524.53   	0.008000	1524.53   	0.008000	1524.87   	0.008000	31.2089   	0.008000	31.2089   	0.008000	56.5447   	0.008000	106.638   	0.008000	63.6181   	
0.010000	2284.98   	0.010000	2284.98   	0.010000	1765.34   	0.010000	1765.34   	0.010000	1765.68   	0.010000	31.4481   	0.010000	31.4481   	0.010000	70.8375   	0.010000	132.849   	0.010000	80.1907   	
0.015000	2903.67   	0.015000	2903.67   	0.015000	2286.48   	0.015000	2286.48   	0.015000	2286.84   	0.015000	32.558    	0.015000	32.558    	0.015000	105.447   	0.015000	195.78    	0.015000	120.667   	
0.020000	3389.15   	0.020000	3389.15   	0.020000	2735.29   	0.020000	2735.29   	0.020000	2735.65   	0.020000	33.9846   	0.020000	33.9846   	0.020000	137.934   	0.020000	253.429   	0.020000	160.264   	
0.025000	3798.68   	0.025000	3798.68   	0.025000	3137.58   	0.025000	3137.58   	0.025000	3137.95   	0.025000	35.4719   	0.025000	35.4719   	0.025000	166.859   	0.025000	302.017   	0.025000	199.229   	
0.030000	4160.37   	0.030000	4160.37   	0.030000	3506.08   	0.030000	3506.08   	0.030000	3506.45   	0.030000	36.918    	0.030000	36.918    	0.030000	193.74    	0.030000	345.574   	0.030000	231.986   	
0.035000	4489.71   	0.035000	4489.71   	0.035000	3848.87   	0.035000	3848.87   	0.035000	3849.24   	0.035000	38.2918   	0.035000	38.2918   	0.035000	219.273   	0.035000	385.862   	0.035000	257.13    	
0.040000	4795.79   	0.040000	4795.79   	0.040000	4171.55   	0.040000	4171.55   	0.040000	4171.92   	0.040000	39.5895   	0.040000	39.5895   	0.040000	243.732   	0.040000	423.673   	0.040000	277.703   	
