! 11Li range in H180C10F40
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	528.114   	0.001000	528.114   	0.001000	410.906   	0.001000	410.906   	0.001000	410.996   	0.001000	0         	0.001000	0         	0.001000	11.1297   	0.001000	21.8886   	0.001000	12.0592   	
0.002000	1056.23   	0.002000	1056.23   	0.002000	821.812   	0.002000	821.812   	0.002000	821.993   	0.002000	40.9633   	0.002000	40.9633   	0.002000	32.5966   	0.002000	61.9554   	0.002000	36.7627   	
0.005000	2425.91   	0.005000	2425.91   	0.005000	1856.93   	0.005000	1856.93   	0.005000	1857.21   	0.005000	49.151    	0.005000	49.151    	0.005000	117.351   	0.005000	215.359   	0.005000	137.296   	
0.008000	3533.39   	0.008000	3533.39   	0.008000	2696.28   	0.008000	2696.28   	0.008000	2696.59   	0.008000	49.417    	0.008000	49.417    	0.008000	209.063   	0.008000	378.356   	0.008000	247.989   	
0.010000	4175.28   	0.010000	4175.28   	0.010000	3187.75   	0.010000	3187.75   	0.010000	3188.07   	0.010000	50.2585   	0.010000	50.2585   	0.010000	269.33    	0.010000	483.886   	0.010000	322.325   	
0.015000	5556.97   	0.015000	5556.97   	0.015000	4267.63   	0.015000	4267.63   	0.015000	4267.95   	0.015000	53.9986   	0.015000	53.9986   	0.015000	400.737   	0.015000	692.823   	0.015000	500.288   	
0.020000	6719.02   	0.020000	6719.02   	0.020000	5217.49   	0.020000	5217.49   	0.020000	5217.82   	0.020000	58.325    	0.020000	58.325    	0.020000	515.839   	0.020000	854.541   	0.020000	619.382   	
0.025000	7712.04   	0.025000	7712.04   	0.025000	6072.86   	0.025000	6072.86   	0.025000	6073.2    	0.025000	62.131    	0.025000	62.131    	0.025000	614.906   	0.025000	985.821   	0.025000	699.184   	
0.030000	8580.68   	0.030000	8580.68   	0.030000	6853.06   	0.030000	6853.06   	0.030000	6853.4    	0.030000	65.3086   	0.030000	65.3086   	0.030000	687.564   	0.030000	1081.5    	0.030000	757.297   	
0.035000	9363.32   	0.035000	9363.32   	0.035000	7573.13   	0.035000	7573.13   	0.035000	7573.48   	0.035000	68.0329   	0.035000	68.0329   	0.035000	742.457   	0.035000	1154.35   	0.035000	802.791   	
0.040000	10083.3   	0.040000	10083.3   	0.040000	8244.57   	0.040000	8244.57   	0.040000	8244.91   	0.040000	70.4282   	0.040000	70.4282   	0.040000	786.572   	0.040000	1213.42   	0.040000	840.248   	
0.045000	10754.7   	0.045000	10754.7   	0.045000	8875.92   	0.045000	8875.92   	0.045000	8876.27   	0.045000	72.5687   	0.045000	72.5687   	0.045000	823.404   	0.045000	1263.05   	0.045000	871.659   	
0.050000	11386.6   	0.050000	11386.6   	0.050000	9473.79   	0.050000	9473.79   	0.050000	9474.14   	0.050000	74.5032   	0.050000	74.4283   	0.050000	854.893   	0.050000	1305.72   	0.050000	899.339   	
0.055000	11985.4   	0.055000	11985.4   	0.055000	10043.4   	0.055000	10043.4   	0.055000	10043.7   	0.055000	76.2641   	0.055000	76.0625   	0.055000	882.083   	0.055000	1342.81   	0.055000	923.111   	
0.060000	12555.5   	0.060000	12555.5   	0.060000	10588.8   	0.060000	10588.8   	0.060000	10589.2   	0.060000	77.8764   	0.060000	77.5451   	0.060000	906.268   	0.060000	1375.81   	0.060000	944.502   	
0.070000	13625.5   	0.070000	13625.5   	0.070000	11620.4   	0.070000	11620.4   	0.070000	11620.7   	0.070000	80.7445   	0.070000	80.161    	0.070000	947.693   	0.070000	1432.17   	0.070000	981.715   	
0.080000	14620.9   	0.080000	14620.9   	0.080000	12589.3   	0.080000	12589.3   	0.080000	12589.7   	0.080000	83.2506   	0.080000	82.4348   	0.080000	982.636   	0.080000	1479.53   	0.080000	1013.49   	
0.090000	15559.2   	0.090000	15559.2   	0.090000	13510.6   	0.090000	13510.6   	0.090000	13510.9   	0.090000	85.4948   	0.090000	84.4675   	0.090000	1012.23   	0.090000	1519.48   	0.090000	1040.94   	
0.100000	16453.4   	0.100000	16453.4   	0.100000	14394.9   	0.100000	14394.9   	0.100000	14395.3   	0.100000	87.5487   	0.100000	86.3102   	0.100000	1038.91   	0.100000	1554.97   	0.100000	1065.87   	
0.120000	18136.9   	0.120000	18136.9   	0.120000	16084.3   	0.120000	16084.3   	0.120000	16084.6   	0.120000	91.2173   	0.120000	89.5546   	0.120000	1084.49   	0.120000	1614.77   	0.120000	1109.9    	
0.140000	19719.2   	0.140000	19719.2   	0.140000	17703.5   	0.140000	17703.5   	0.140000	17703.9   	0.140000	94.4917   	0.140000	92.4078   	0.140000	1123.59   	0.140000	1664.59   	0.140000	1148.33   	
0.160000	21236.7   	0.160000	21236.7   	0.160000	19282     	0.160000	19282     	0.160000	19282.4   	0.160000	97.5483   	0.160000	95.0408   	0.160000	1158.32   	0.160000	1707.63   	0.160000	1183.23   	
0.180000	22716.2   	0.180000	22716.2   	0.180000	20839.1   	0.180000	20839.1   	0.180000	20839.4   	0.180000	100.51    	0.180000	97.5682   	0.180000	1190.45   	0.180000	1746.13   	0.180000	1216.64   	
0.200000	24173.8   	0.200000	24173.8   	0.200000	22388.1   	0.200000	22388.1   	0.200000	22388.4   	0.200000	103.444   	0.200000	100.052   	0.200000	1220.68   	0.200000	1781.34   	0.200000	1248.33   	
0.250000	27791.7   	0.250000	27791.7   	0.250000	26281.7   	0.250000	26281.7   	0.250000	26282.1   	0.250000	110.946   	0.250000	106.331   	0.250000	1291.71   	0.250000	1860.26   	0.250000	1325.33   	
0.300000	31399.2   	0.300000	31399.2   	0.300000	30260.8   	0.300000	30260.8   	0.300000	30261.2   	0.300000	118.673   	0.300000	112.71    	0.300000	1358.5    	0.300000	1929.96   	0.300000	1399.92   	
0.350000	35046.4   	0.350000	35046.4   	0.350000	34346.3   	0.350000	34346.3   	0.350000	34346.6   	0.350000	126.805   	0.350000	119.356   	0.350000	1422.68   	0.350000	1994.01   	0.350000	1471.08   	
0.400000	38776.1   	0.400000	38776.1   	0.400000	38570.2   	0.400000	38570.2   	0.400000	38570.6   	0.400000	135.531   	0.400000	126.426   	0.400000	1486.22   	0.400000	2055.92   	0.400000	1534.17   	
0.450000	42620.2   	0.450000	42620.2   	0.450000	42956.2   	0.450000	42956.2   	0.450000	42956.6   	0.450000	145.011   	0.450000	134.042   	0.450000	1543.18   	0.450000	2118.3    	0.450000	1596.8    	
0.500000	46595.6   	0.500000	46595.6   	0.500000	47515.4   	0.500000	47515.4   	0.500000	47515.7   	0.500000	155.316   	0.500000	142.259   	0.500000	1596.18   	0.500000	2181.7    	0.500000	1660.02   	
0.600000	54948.1   	0.600000	54948.1   	0.600000	57160.6   	0.600000	57160.6   	0.600000	57161     	0.600000	178.316   	0.600000	160.593   	0.600000	1702.89   	0.600000	2311.26   	0.600000	1787.62   	
0.700000	63917.3   	0.700000	63917.3   	0.700000	67503.2   	0.700000	67503.2   	0.700000	67503.5   	0.700000	204.956   	0.700000	182.651   	0.700000	1812.42   	0.700000	2445.89   	0.700000	1918.31   	
0.800000	73472.8   	0.800000	73472.8   	0.800000	78527     	0.800000	78527     	0.800000	78527.3   	0.800000	234.731   	0.800000	207.758   	0.800000	1926.03   	0.800000	2585.58   	0.800000	1978.56   	
0.900000	83562.8   	0.900000	83562.8   	0.900000	90214.3   	0.900000	90214.3   	0.900000	90214.7   	0.900000	267.052   	0.900000	235.096   	0.900000	2041.48   	0.900000	2728.56   	0.900000	2026.12   	
1.000000	94258.2   	1.000000	94258.2   	1.000000	102565    	1.000000	102565    	1.000000	102565    	1.000000	302.494   	1.000000	264.936   	1.000000	2156.01   	1.000000	2876.45   	1.000000	2079.89   	
1.250000	123824    	1.250000	123824    	1.250000	136319    	1.250000	136319    	1.250000	136320    	1.250000	405.882   	1.250000	350.557   	1.250000	2365.68   	1.250000	3264.95   	1.250000	2239.24   	
1.500000	158188    	1.500000	158188    	1.500000	174009    	1.500000	174009    	1.500000	174010    	1.500000	537.39    	1.500000	456.53    	1.500000	2565.57   	1.500000	3493.71   	1.500000	2442.15   	
1.750000	197689    	1.750000	197689    	1.750000	215539    	1.750000	215539    	1.750000	215540    	1.750000	698.744   	1.750000	583.22    	1.750000	2812.96   	1.750000	3782.11   	1.750000	2691.35   	
2.000000	241916    	2.000000	241916    	2.000000	260877    	2.000000	260877    	2.000000	260877    	2.000000	884.369   	2.000000	725.499   	2.000000	3102.53   	2.000000	4121.67   	2.000000	2982.03   	
2.250000	290595    	2.250000	290595    	2.250000	310028    	2.250000	310028    	2.250000	310028    	2.250000	1091.19   	2.250000	880.555   	2.250000	3430.4    	2.250000	4506.4    	2.250000	3310.66   	
2.500000	343614    	2.500000	343541    	2.500000	363007    	2.500000	363007    	2.500000	363008    	2.500000	1317.59   	2.500000	1046.88   	2.500000	3793.79   	2.500000	4932.03   	2.500000	3674.7    	
3.000000	466172    	3.000000	461686    	3.000000	480496    	3.000000	480496    	3.000000	480496    	3.000000	1825.38   	3.000000	1409.96   	3.000000	4619.22   	3.000000	5894.1    	3.000000	4501.66   	
3.500000	604808    	3.500000	595605    	3.500000	613376    	3.500000	613376    	3.500000	613376    	3.500000	2404.1    	3.500000	1811.31   	3.500000	5567.82   	3.500000	6991.11   	3.500000	5452.67   	
4.000000	759231    	4.000000	744880    	4.000000	761606    	4.000000	761606    	4.000000	761606    	4.000000	3052.95   	4.000000	2249.9    	4.000000	6633.49   	4.000000	8213.45   	4.000000	6522.1    	
4.500000	929185    	4.500000	909227    	4.500000	925088    	4.500000	925088    	4.500000	925088    	4.500000	3771.82   	4.500000	2725.04   	4.500000	7812.38   	4.500000	9554.87   	4.500000	7706.38   	
5.000000	1.11444e+06	5.000000	1.08842e+06	5.000000	1.10369e+06	5.000000	1.10369e+06	5.000000	1.10369e+06	5.000000	4560.58   	5.000000	3236.26   	5.000000	9101.67   	5.000000	11010.8   	5.000000	9002.89   	
5.500000	1.31479e+06	5.500000	1.28226e+06	5.500000	1.29727e+06	5.500000	1.29727e+06	5.500000	1.29727e+06	5.500000	5418.77   	5.500000	3783      	5.500000	10498.9   	5.500000	12577.2   	5.500000	10409.2   	
6.000000	1.53003e+06	6.000000	1.49053e+06	6.000000	1.50566e+06	6.000000	1.50566e+06	6.000000	1.50566e+06	6.000000	6345.8    	6.000000	4364.69   	6.000000	12002.1   	6.000000	14251.3   	6.000000	11923.6   	
6.500000	1.76001e+06	6.500000	1.71306e+06	6.500000	1.72872e+06	6.500000	1.72872e+06	6.500000	1.72872e+06	6.500000	7341.2    	6.500000	4980.78   	6.500000	13609.7   	6.500000	16030.3   	6.500000	13544.5   	
7.000000	2.00455e+06	7.000000	1.9497e+06	7.000000	1.9663e+06	7.000000	1.9663e+06	7.000000	1.9663e+06	7.000000	8404.46   	7.000000	5630.82   	7.000000	15320.3   	7.000000	17912.1   	7.000000	15270.5   	
7.500000	2.2635e+06	7.500000	2.2003e+06	7.500000	2.21825e+06	7.500000	2.21825e+06	7.500000	2.21825e+06	7.500000	9535.06   	7.500000	6314.34   	7.500000	17132.5   	7.500000	19894.6   	7.500000	17100.3   	
8.000000	2.53673e+06	8.000000	2.46471e+06	8.000000	2.48444e+06	8.000000	2.48444e+06	8.000000	2.48444e+06	8.000000	10732.5   	8.000000	7030.84   	8.000000	19045.2   	8.000000	21976.1   	8.000000	19033     	
8.500000	2.82409e+06	8.500000	2.7428e+06	8.500000	2.76475e+06	8.500000	2.76475e+06	8.500000	2.76475e+06	8.500000	11996.2   	8.500000	7779.71   	8.500000	21057.5   	8.500000	24155.1   	8.500000	21067.3   	
9.000000	3.12546e+06	9.000000	3.03444e+06	9.000000	3.05906e+06	9.000000	3.05906e+06	9.000000	3.05906e+06	9.000000	13325.8   	9.000000	8560.44   	9.000000	23168.1   	9.000000	26429.9   	9.000000	23202.4   	
