! 2H range in H180C10F40
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	209.995   	0.001000	209.995   	0.001000	186.635   	0.001000	186.635   	0.001000	186.681   	0.001000	0         	0.001000	0         	0.001000	2.24959   	0.001000	4.59806   	0.001000	2.23943   	
0.002000	419.989   	0.002000	419.989   	0.002000	373.27    	0.002000	373.27    	0.002000	373.362   	0.002000	15.914    	0.002000	15.914    	0.002000	6.58763   	0.002000	13.0086   	0.002000	6.89001   	
0.005000	907.84    	0.005000	907.84    	0.005000	827.761   	0.005000	827.761   	0.005000	827.901   	0.005000	18.5522   	0.005000	18.5522   	0.005000	22.3707   	0.005000	42.7854   	0.005000	24.3612   	
0.008000	1299.79   	0.008000	1299.79   	0.008000	1207.24   	0.008000	1207.24   	0.008000	1207.4    	0.008000	18.6507   	0.008000	18.6507   	0.008000	40.0259   	0.008000	75.3193   	0.008000	44.4116   	
0.010000	1532.1    	0.010000	1532.1    	0.010000	1436.56   	0.010000	1436.56   	0.010000	1436.73   	0.010000	18.9925   	0.010000	18.9925   	0.010000	52.3469   	0.010000	97.7623   	0.010000	58.5708   	
0.015000	2021.46   	0.015000	2021.46   	0.015000	1956.6    	0.015000	1956.6    	0.015000	1956.77   	0.015000	20.7634   	0.015000	20.7634   	0.015000	84.324    	0.015000	155.39    	0.015000	95.711    	
0.020000	2418.2    	0.020000	2418.2    	0.020000	2424.66   	0.020000	2424.66   	0.020000	2424.84   	0.020000	23.1885   	0.020000	23.1885   	0.020000	116.314   	0.020000	211.499   	0.020000	134.589   	
0.025000	2761.74   	0.025000	2761.74   	0.025000	2856.92   	0.025000	2856.92   	0.025000	2857.11   	0.025000	25.7747   	0.025000	25.7747   	0.025000	146.223   	0.025000	261.207   	0.025000	174.68    	
0.030000	3072.34   	0.030000	3072.34   	0.030000	3262.19   	0.030000	3262.19   	0.030000	3262.38   	0.030000	28.3174   	0.030000	28.3174   	0.030000	175.062   	0.030000	307.431   	0.030000	209.39    	
0.035000	3361.66   	0.035000	3361.66   	0.035000	3646.74   	0.035000	3646.74   	0.035000	3646.93   	0.035000	30.7558   	0.035000	30.7558   	0.035000	203.345   	0.035000	351.594   	0.035000	237.026   	
0.040000	3636.84   	0.040000	3636.84   	0.040000	4015.3    	0.040000	4015.3    	0.040000	4015.49   	0.040000	33.0849   	0.040000	33.0849   	0.040000	231.195   	0.040000	394.217   	0.040000	260.367   	
0.045000	3902.47   	0.045000	3902.47   	0.045000	4371.27   	0.045000	4371.27   	0.045000	4371.46   	0.045000	35.3143   	0.045000	35.3143   	0.045000	258.051   	0.045000	434.786   	0.045000	281.046   	
0.050000	4161.63   	0.050000	4161.63   	0.050000	4717.21   	0.050000	4717.21   	0.050000	4717.4    	0.050000	37.4577   	0.050000	38.8473   	0.050000	281.454   	0.050000	470.158   	0.050000	299.337   	
0.055000	4416.52   	0.055000	4416.52   	0.055000	5055.12   	0.055000	5055.12   	0.055000	5055.31   	0.055000	39.5291   	0.055000	42.7703   	0.055000	302.36    	0.055000	501.745   	0.055000	316.114   	
0.060000	4668.77   	0.060000	4668.77   	0.060000	5386.57   	0.060000	5386.57   	0.060000	5386.76   	0.060000	41.5415   	0.060000	46.3312   	0.060000	321.314   	0.060000	530.347   	0.060000	331.625   	
0.070000	5170.13   	0.070000	5170.13   	0.070000	6035.04   	0.070000	6035.04   	0.070000	6035.23   	0.070000	45.434    	0.070000	52.7216   	0.070000	354.884   	0.070000	580.867   	0.070000	359.691   	
0.080000	5672.95   	0.080000	5672.95   	0.080000	6670.55   	0.080000	6670.55   	0.080000	6670.74   	0.080000	49.211    	0.080000	58.4825   	0.080000	384.484   	0.080000	625.208   	0.080000	384.965   	
0.090000	6182.07   	0.090000	6182.07   	0.090000	7298.79   	0.090000	7298.79   	0.090000	7298.99   	0.090000	52.9304   	0.090000	63.8621   	0.090000	411.574   	0.090000	665.608   	0.090000	408.285   	
0.100000	6700.78   	0.100000	6700.78   	0.100000	7924.03   	0.100000	7924.03   	0.100000	7924.22   	0.100000	56.6366   	0.100000	69.0116   	0.100000	436.463   	0.100000	702.528   	0.100000	430.15    	
0.120000	7775.47   	0.120000	7775.47   	0.120000	9177.92   	0.120000	9177.92   	0.120000	9178.12   	0.120000	64.1424   	0.120000	78.9907   	0.120000	482.469   	0.120000	769.825   	0.120000	470.828   	
0.140000	8908.4    	0.140000	8908.4    	0.140000	10451.2   	0.140000	10451.2   	0.140000	10451.4   	0.140000	71.9339   	0.140000	88.9268   	0.140000	525.208   	0.140000	831.354   	0.140000	509.195   	
0.160000	10105.1   	0.160000	10105.1   	0.160000	11756.5   	0.160000	11756.5   	0.160000	11756.7   	0.160000	80.1503   	0.160000	98.9457   	0.160000	566.142   	0.160000	889.744   	0.160000	546.372   	
0.180000	11368.1   	0.180000	11368.1   	0.180000	13102.4   	0.180000	13102.4   	0.180000	13102.6   	0.180000	88.8897   	0.180000	109.123   	0.180000	605.925   	0.180000	946.052   	0.180000	582.699   	
0.200000	12698.3   	0.200000	12698.3   	0.200000	14495.3   	0.200000	14495.3   	0.200000	14495.5   	0.200000	98.2231   	0.200000	119.594   	0.200000	645.451   	0.200000	1001.56   	0.200000	619.061   	
0.250000	16317.5   	0.250000	16317.5   	0.250000	18209.3   	0.250000	18209.3   	0.250000	18209.5   	0.250000	124.461   	0.250000	147.583   	0.250000	744.16    	0.250000	1138.63   	0.250000	710.964   	
0.300000	20349.2   	0.300000	20349.2   	0.300000	22286     	0.300000	22286     	0.300000	22286.2   	0.300000	155.185   	0.300000	178.688   	0.300000	846.11    	0.300000	1278.12   	0.300000	807.017   	
0.350000	24781.8   	0.350000	24781.8   	0.350000	26746.4   	0.350000	26746.4   	0.350000	26746.6   	0.350000	190.582   	0.350000	213.226   	0.350000	952.758   	0.350000	1422.32   	0.350000	908.161   	
0.400000	29604     	0.400000	29604     	0.400000	31599.4   	0.400000	31599.4   	0.400000	31599.6   	0.400000	230.679   	0.400000	251.231   	0.400000	1064.97   	0.400000	1572.49   	0.400000	1015.34   	
0.450000	34805.4   	0.450000	34805.4   	0.450000	36846.7   	0.450000	36846.7   	0.450000	36846.9   	0.450000	275.414   	0.450000	292.612   	0.450000	1183.48   	0.450000	1729.6    	0.450000	1129.17   	
0.500000	40377     	0.500000	40377     	0.500000	42486.1   	0.500000	42486.1   	0.500000	42486.3   	0.500000	324.68    	0.500000	337.232   	0.500000	1308.31   	0.500000	1893.75   	0.500000	1249.48   	
0.600000	52599.5   	0.600000	52599.5   	0.600000	54922     	0.600000	54922     	0.600000	54922.2   	0.600000	436.29    	0.600000	436.551   	0.600000	1577.61   	0.600000	2244      	0.600000	1510.32   	
0.700000	66217.8   	0.700000	66217.8   	0.700000	68858.9   	0.700000	68858.9   	0.700000	68859.1   	0.700000	564.458   	0.700000	552.473   	0.700000	1872.54   	0.700000	2622.91   	0.700000	1797.49   	
0.800000	81189.1   	0.800000	81189.1   	0.800000	84244.5   	0.800000	84244.5   	0.800000	84244.7   	0.800000	708.227   	0.800000	682.391   	0.800000	2191.35   	0.800000	3029.89   	0.800000	2110.56   	
0.900000	97478     	0.900000	97478     	0.900000	101029    	0.900000	101029    	0.900000	101030    	0.900000	866.804   	0.900000	824.024   	0.900000	2531.71   	0.900000	3463.88   	0.900000	2448.51   	
1.000000	115055    	1.000000	115055    	1.000000	119170    	1.000000	119170    	1.000000	119170    	1.000000	1039.55   	1.000000	975.917   	1.000000	2895.58   	1.000000	3923.74   	1.000000	2810.81   	
1.250000	164468    	1.250000	164468    	1.250000	170216    	1.250000	170216    	1.250000	170216    	1.250000	1530.4    	1.250000	1394.88   	1.250000	3904.5    	1.250000	5175.43   	1.250000	3795.99   	
1.500000	221451    	1.500000	221451    	1.500000	229045    	1.500000	229045    	1.500000	229045    	1.500000	2101.62   	1.500000	1863.73   	1.500000	5048.52   	1.500000	6561.79   	1.500000	4879.44   	
1.750000	285751    	1.750000	285751    	1.750000	295330    	1.750000	295330    	1.750000	295330    	1.750000	2750.1    	1.750000	2378.14   	1.750000	6321.47   	1.750000	8084.37   	1.750000	6094.4    	
2.000000	357167    	2.000000	357167    	2.000000	368830    	2.000000	368830    	2.000000	368830    	2.000000	3473.93   	2.000000	2935.65   	2.000000	7715.66   	2.000000	9733.15   	2.000000	7436.12   	
2.250000	435531    	2.250000	435531    	2.250000	449360    	2.250000	449360    	2.250000	449360    	2.250000	4271.77   	2.250000	3534.64   	2.250000	9203.2    	2.250000	11475.1   	2.250000	8901.07   	
2.500000	520833    	2.500000	520700    	2.500000	536769    	2.500000	536769    	2.500000	536769    	2.500000	5142.67   	2.500000	4174.01   	2.500000	10810.1   	2.500000	13340.5   	2.500000	10486.4   	
3.000000	719540    	3.000000	710966    	3.000000	731753    	3.000000	731753    	3.000000	731753    	3.000000	7100.72   	3.000000	5570.76   	3.000000	14374.1   	3.000000	17429.7   	3.000000	14009.8   	
3.500000	945075    	3.500000	927129    	3.500000	952992    	3.500000	952992    	3.500000	952992    	3.500000	9343.41   	3.500000	7120.65   	3.500000	18393.6   	3.500000	21979.5   	3.500000	17992.3   	
4.000000	1.19685e+06	4.000000	1.16851e+06	4.000000	1.19988e+06	4.000000	1.19988e+06	4.000000	1.19988e+06	4.000000	11867.2   	4.000000	8819.67   	4.000000	22858.2   	4.000000	26973.8   	4.000000	22423.6   	
4.500000	1.47437e+06	4.500000	1.43455e+06	4.500000	1.47192e+06	4.500000	1.47192e+06	4.500000	1.47192e+06	4.500000	14669.2   	4.500000	10664.5   	4.500000	27759.7   	4.500000	32400     	4.500000	27295.7   	
