! 1H range in H180C10F40
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	105.049   	0.001000	105.049   	0.001000	93.3639   	0.001000	93.3639   	0.001000	93.3868   	0.001000	0         	0.001000	0         	0.001000	0.768822  	0.001000	1.62669   	0.001000	0.722928  	
0.002000	210.099   	0.002000	210.099   	0.002000	186.728   	0.002000	186.728   	0.002000	186.774   	0.002000	11.2557   	0.002000	11.2557   	0.002000	2.25132   	0.002000	4.60157   	0.002000	2.24127   	
0.005000	454.146   	0.005000	454.146   	0.005000	414.086   	0.005000	414.086   	0.005000	414.156   	0.005000	13.1216   	0.005000	13.1216   	0.005000	7.64443   	0.005000	15.1298   	0.005000	7.97194   	
0.008000	650.217   	0.008000	650.217   	0.008000	603.919   	0.008000	603.919   	0.008000	603.998   	0.008000	13.1913   	0.008000	13.1913   	0.008000	13.6764   	0.008000	26.6275   	0.008000	14.5723   	
0.010000	766.43    	0.010000	766.43    	0.010000	718.638   	0.010000	718.638   	0.010000	718.72    	0.010000	13.433    	0.010000	13.433    	0.010000	17.8854   	0.010000	34.5562   	0.010000	19.2408   	
0.015000	1011.23   	0.015000	1011.23   	0.015000	978.784   	0.015000	978.784   	0.015000	978.871   	0.015000	14.6856   	0.015000	14.6856   	0.015000	28.8076   	0.015000	54.9062   	0.015000	31.5028   	
0.020000	1209.7    	0.020000	1209.7    	0.020000	1212.93   	0.020000	1212.93   	0.020000	1213.02   	0.020000	16.4008   	0.020000	16.4008   	0.020000	40.1166   	0.020000	75.7361   	0.020000	44.3549   	
0.025000	1381.56   	0.025000	1381.56   	0.025000	1429.17   	0.025000	1429.17   	0.025000	1429.26   	0.025000	18.23     	0.025000	18.23     	0.025000	51.6875   	0.025000	96.8689   	0.025000	57.6194   	
0.030000	1536.93   	0.030000	1536.93   	0.030000	1631.91   	0.030000	1631.91   	0.030000	1632      	0.030000	20.0284   	0.030000	20.0284   	0.030000	63.447    	0.030000	118.205   	0.030000	71.1899   	
0.035000	1681.67   	0.035000	1681.67   	0.035000	1824.28   	0.035000	1824.28   	0.035000	1824.37   	0.035000	21.753    	0.035000	21.753    	0.035000	75.2752   	0.035000	139.464   	0.035000	85.0316   	
0.040000	1819.32   	0.040000	1819.32   	0.040000	2008.65   	0.040000	2008.65   	0.040000	2008.74   	0.040000	23.4004   	0.040000	23.4004   	0.040000	86.6542   	0.040000	159.305   	0.040000	99.1461   	
0.045000	1952.2    	0.045000	1952.2    	0.045000	2186.72   	0.045000	2186.72   	0.045000	2186.81   	0.045000	24.9772   	0.045000	24.9772   	0.045000	97.667    	0.045000	177.958   	0.045000	113.542   	
0.050000	2081.85   	0.050000	2081.85   	0.050000	2359.78   	0.050000	2359.78   	0.050000	2359.87   	0.050000	26.4932   	0.050000	27.476    	0.050000	108.525   	0.050000	195.978   	0.050000	128.232   	
0.055000	2209.36   	0.055000	2209.36   	0.055000	2528.81   	0.055000	2528.81   	0.055000	2528.91   	0.055000	27.9582   	0.055000	30.2507   	0.055000	119.28    	0.055000	213.489   	0.055000	141.823   	
0.060000	2335.55   	0.060000	2335.55   	0.060000	2694.62   	0.060000	2694.62   	0.060000	2694.72   	0.060000	29.3816   	0.060000	32.7693   	0.060000	130.002   	0.060000	230.67    	0.060000	153.874   	
0.070000	2586.35   	0.070000	2586.35   	0.070000	3019.02   	0.070000	3019.02   	0.070000	3019.12   	0.070000	32.1347   	0.070000	37.289    	0.070000	151.573   	0.070000	264.574   	0.070000	174.827   	
0.080000	2837.88   	0.080000	2837.88   	0.080000	3336.93   	0.080000	3336.93   	0.080000	3337.03   	0.080000	34.8061   	0.080000	41.3636   	0.080000	173.377   	0.080000	298.131   	0.080000	193.048   	
0.090000	3092.57   	0.090000	3092.57   	0.090000	3651.21   	0.090000	3651.21   	0.090000	3651.31   	0.090000	37.4367   	0.090000	45.1686   	0.090000	194.991   	0.090000	330.929   	0.090000	209.683   	
0.100000	3352.05   	0.100000	3352.05   	0.100000	3963.98   	0.100000	3963.98   	0.100000	3964.08   	0.100000	40.0581   	0.100000	48.8107   	0.100000	214.401   	0.100000	360.366   	0.100000	224.9     	
0.120000	3889.67   	0.120000	3889.67   	0.120000	4591.24   	0.120000	4591.24   	0.120000	4591.34   	0.120000	45.3668   	0.120000	55.8687   	0.120000	249.02    	0.120000	412.724   	0.120000	253.073   	
0.140000	4456.41   	0.140000	4456.41   	0.140000	5228.21   	0.140000	5228.21   	0.140000	5228.31   	0.140000	50.8776   	0.140000	62.8963   	0.140000	280.093   	0.140000	459.446   	0.140000	279.207   	
